Press or Release,Key,Time
P,w,1735660003028
P,i,1735660003107
R,w,1735660003132
R,i,1735660003168
P,l,1735660003287
R,l,1735660003343
P,l,1735660003427
R,l,1735660003487
P,Key.space,1735660003612
R,Key.space,1735660003687
P,s,1735660003802
P,m,1735660003873
R,s,1735660003908
R,m,1735660003952
P,i,1735660004067
R,i,1735660004128
P,t,1735660004257
R,t,1735660004328
P,h,1735660004442
R,h,1735660004507
P,Key.space,1735660004682
R,Key.space,1735660004748
P,a,1735660004892
R,a,1735660004997
P,n,1735660004998
R,n,1735660005063
P,d,1735660005148
R,d,1735660005252
P,Key.space,1735660005257
R,Key.space,1735660005313
P,a,1735660005768
R,a,1735660005927
P,n,1735660005927
R,n,1735660005987
P,g,1735660006112
R,g,1735660006187
P,e,1735660006292
R,e,1735660006387
P,r,1735660006392
R,r,1735660006447
P,Key.space,1735660006602
R,Key.space,1735660006657
P,a,1735660006887
R,a,1735660006998
P,r,1735660007122
R,r,1735660007187
P,e,1735660007287
R,e,1735660007387
P,Key.space,1735660007447
R,Key.space,1735660007492
P,t,1735660007753
R,t,1735660007779
P,a,1735660007907
R,a,1735660008007
P,l,1735660008133
R,l,1735660008177
P,k,1735660008327
R,k,1735660008372
P,i,1735660008503
R,i,1735660008568
P,n,1735660008707
R,n,1735660008767
P,g,1735660008873
R,g,1735660008928
P,Key.space,1735660009087
R,Key.space,1735660009132
P,a,1735660009907
R,a,1735660010037
P,n,1735660010067
R,n,1735660010132
P,g,1735660010287
R,g,1735660010332
P,r,1735660010612
R,r,1735660010752
P,y,1735660010792
R,y,1735660010867
P,Key.space,1735660011007
R,Key.space,1735660011058
P,s,1735660011172
R,s,1735660011272
P,p,1735660011347
R,p,1735660011407
P,e,1735660011502
R,e,1735660011623
P,e,1735660011718
R,e,1735660011812
P,c,1735660012043
R,c,1735660012167
P,h,1735660012227
R,h,1735660012267
P,Key.space,1735660012402
R,Key.space,1735660012467
P,a,1735660012627
P,b,1735660012737
R,a,1735660012767
R,b,1735660012787
P,o,1735660012967
R,o,1735660013047
P,u,1735660013207
R,u,1735660013267
P,t,1735660013447
R,t,1735660013507
P,Key.space,1735660013672
R,Key.space,1735660013747
P,t,1735660013877
R,t,1735660013904
P,h,1735660014032
R,h,1735660014107
P,e,1735660014167
R,e,1735660014287
P,Key.space,1735660014297
R,Key.space,1735660014367
P,g,1735660015067
R,g,1735660015127
P,j,1735660015307
R,j,1735660015362
P,Key.backspace,1735660015968
R,Key.backspace,1735660016027
P,i,1735660016227
R,i,1735660016277
P,Key.space,1735660016498
R,Key.space,1735660016542
P,j,1735660016827
R,j,1735660016882
P,i,1735660017007
R,i,1735660017067
P,e,1735660017287
R,e,1735660017372
P,Key.space,1735660017527
R,Key.space,1735660017577
P,m,1735660018202
R,m,1735660018248
P,o,1735660018404
R,o,1735660018462
P,v,1735660018822
R,v,1735660018922
P,i,1735660018987
R,i,1735660019052
P,e,1735660019127
R,e,1735660019232
P,Key.space,1735660019392
R,Key.space,1735660019447
P,i,1735660019607
R,i,1735660019647
P,n,1735660019787
R,n,1735660019832
P,Key.space,1735660019968
R,Key.space,1735660020028
P,o,1735660021188
R,o,1735660021247
P,s,1735660021327
R,s,1735660021407
P,c,1735660021557
R,c,1735660021617
P,a,1735660021687
R,a,1735660021807
P,r,1735660021808
R,r,1735660021867
P,Key.space,1735660022072
R,Key.space,1735660022132
P,f,1735660022827
R,f,1735660022912
P,i,1735660022927
R,i,1735660022987
P,m,1735660023127
R,m,1735660023187
P,l,1735660023327
R,l,1735660023373
P,Key.space,1735660023507
R,Key.space,1735660023567
P,a,1735660023787
R,a,1735660023957
P,w,1735660024167
R,w,1735660024267
P,a,1735660024387
R,a,1735660024457
P,r,1735660024627
R,r,1735660024707
P,d,1735660024847
R,d,1735660024967
P,Key.space,1735660025132
R,Key.space,1735660025192
P,t,1735660025907
R,t,1735660025967
P,i,1735660026177
R,i,1735660026242
P,m,1735660026402
R,m,1735660026468
P,e,1735660026547
R,e,1735660026667
P,Key.space,1735660026667
R,Key.space,1735660026707
P,Key.backspace,1735660030528
R,Key.backspace,1735660030607
P,Key.right,1735660031368
R,Key.right,1735660031472
P,m,1735660031778
R,m,1735660031847
P,Key.right,1735660032632
R,Key.right,1735660032687
P,Key.right,1735660032847
R,Key.right,1735660032907
P,Key.right,1735660032982
R,Key.right,1735660033047
P,Key.right,1735660033242
R,Key.right,1735660033297
P,Key.right,1735660033387
R,Key.right,1735660033447
P,Key.right,1735660033518
R,Key.right,1735660034267
P,Key.space,1735660035127
R,Key.space,1735660035188
P,Key.backspace,1735660035927
R,Key.backspace,1735660035972
P,.,1735660036283
R,.,1735660036337
P,Key.space,1735660036547
R,Key.space,1735660036587
P,a,1735660037007
R,a,1735660037093
P,n,1735660037093
R,n,1735660037167
P,d,1735660037267
R,d,1735660037382
P,Key.space,1735660037383
R,Key.space,1735660037437
P,t,1735660037602
R,t,1735660037632
P,h,1735660037772
R,h,1735660037832
P,i,1735660037952
R,i,1735660038012
P,s,1735660038093
R,s,1735660038207
P,Key.space,1735660038367
R,Key.space,1735660038412
P,v,1735660038927
R,v,1735660038987
P,i,1735660039147
R,i,1735660039227
P,d,1735660039277
R,d,1735660039347
P,e,1735660039452
R,e,1735660039567
P,o,1735660039568
R,o,1735660039612
P,Key.space,1735660039783
R,Key.space,1735660039832
P,i,1735660040827
R,i,1735660040887
P,s,1735660040982
R,s,1735660041087
P,Key.space,1735660041107
R,Key.space,1735660041167
P,v,1735660041337
R,v,1735660041432
P,i,1735660041453
R,i,1735660041498
P,r,1735660041717
R,r,1735660041767
P,a,1735660041867
R,a,1735660041967
P,l,1735660042037
R,l,1735660042082
P,Key.space,1735660042232
R,Key.space,1735660042312
P,a,1735660042407
R,a,1735660042498
P,b,1735660042498
R,b,1735660042567
P,Key.backspace,1735660043007
R,Key.backspace,1735660043062
P,Key.backspace,1735660043167
R,Key.backspace,1735660043227
P,t,1735660044062
R,t,1735660044128
P,o,1735660044302
R,o,1735660044347
P,Key.space,1735660044547
R,Key.space,1735660044589
P,a,1735660045827
R,a,1735660045938
P,l,1735660045942
R,l,1735660046007
P,l,1735660046067
R,l,1735660046132
P,Key.space,1735660046272
R,Key.space,1735660046327
P,s,1735660046487
R,s,1735660046587
P,o,1735660046607
R,o,1735660046667
P,c,1735660046787
R,c,1735660046887
P,i,1735660046887
R,i,1735660046947
P,a,1735660047467
R,a,1735660047567
P,l,1735660048263
R,l,1735660048307
P,Key.space,1735660048487
R,Key.space,1735660048532
P,m,1735660048687
R,m,1735660048767
P,d,1735660048892
R,d,1735660048967
P,e,1735660049087
R,e,1735660049177
P,Key.backspace,1735660050052
R,Key.backspace,1735660050117
P,Key.backspace,1735660050207
R,Key.backspace,1735660050282
P,e,1735660050482
R,e,1735660050567
P,d,1735660050747
R,d,1735660050847
P,i,1735660050877
R,i,1735660050967
P,a,1735660051407
R,a,1735660051532
P,Key.space,1735660051862
R,Key.space,1735660051887
P,a,1735660052732
R,a,1735660052862
P,n,1735660052887
R,n,1735660052947
P,d,1735660053042
R,d,1735660053142
P,Key.space,1735660053187
R,Key.space,1735660053237
P,v,1735660053502
R,v,1735660053547
P,e,1735660053747
R,e,1735660053867
P,r,1735660053972
R,r,1735660054082
P,y,1735660054162
R,y,1735660054212
P,Key.space,1735660054403
R,Key.space,1735660054467
P,s,1735660055468
R,s,1735660055552
P,h,1735660055582
R,h,1735660055627
P,a,1735660055727
R,a,1735660055812
P,r,1735660055907
R,r,1735660055957
P,i,1735660057622
R,i,1735660057667
P,n,1735660057827
R,n,1735660057878
P,g,1735660057987
R,g,1735660058047
P,Key.space,1735660058177
R,Key.space,1735660058242
P,v,1735660058367
R,v,1735660058472
P,i,1735660058552
R,i,1735660058597
P,d,1735660058672
R,d,1735660058752
P,e,1735660058867
P,o,1735660058957
R,e,1735660058987
R,o,1735660059007
P,Key.space,1735660059207
R,Key.space,1735660059247
P,a,1735660059547
R,a,1735660059637
P,Key.backspace,1735660059987
R,Key.backspace,1735660060047
P,o,1735660060247
R,o,1735660060302
P,f,1735660060427
R,f,1735660060527
P,Key.space,1735660060567
R,Key.space,1735660060627
P,t,1735660060757
R,t,1735660060807
P,h,1735660060947
R,h,1735660061027
P,a,1735660061047
P,t,1735660061152
R,a,1735660061172
R,t,1735660061207
P,Key.space,1735660061368
R,Key.space,1735660061438
P,t,1735660061572
R,t,1735660061607
P,i,1735660061757
R,i,1735660061807
P,m,1735660061947
R,m,1735660062002
P,e,1735660062072
R,e,1735660062187
