Press or Release,Key,Time
P,Unidentified,1735660011127
R,Unidentified,1735660011129
P,Unidentified,1735660011307
R,Unidentified,1735660011311
P,Unidentified,1735660011587
R,Unidentified,1735660011592
P,Unidentified,1735660011751
R,Unidentified,1735660011760
P,Unidentified,1735660013188
R,Unidentified,1735660013190
P,Unidentified,1735660013323
R,Unidentified,1735660013333
P,Unidentified,1735660013494
R,Unidentified,1735660013498
P,Unidentified,1735660013573
R,Unidentified,1735660013579
P,Unidentified,1735660013783
R,Unidentified,1735660013790
P,Unidentified,1735660013791
R,Unidentified,1735660013796
P,Unidentified,1735660014025
R,Unidentified,1735660014033
P,Unidentified,1735660014119
R,Unidentified,1735660014127
P,Unidentified,1735660014377
R,Unidentified,1735660014381
P,Unidentified,1735660014382
R,Unidentified,1735660014385
P,Unidentified,1735660014711
R,Unidentified,1735660014713
P,Unidentified,1735660014807
R,Unidentified,1735660014812
P,Unidentified,1735660014949
R,Unidentified,1735660014954
P,Unidentified,1735660015039
R,Unidentified,1735660015047
P,Unidentified,1735660015203
R,Unidentified,1735660015207
P,Unidentified,1735660016263
R,Unidentified,1735660016268
P,Unidentified,1735660016269
R,Unidentified,1735660016275
P,Unidentified,1735660016457
R,Unidentified,1735660016463
P,Unidentified,1735660016623
R,Unidentified,1735660016629
P,Unidentified,1735660017130
R,Unidentified,1735660017139
P,Unidentified,1735660017633
R,Unidentified,1735660017641
P,Unidentified,1735660017642
R,Unidentified,1735660017649
P,Unidentified,1735660017881
R,Unidentified,1735660017889
P,Unidentified,1735660017891
R,Unidentified,1735660017895
P,Unidentified,1735660018243
R,Unidentified,1735660018253
P,Unidentified,1735660018489
R,Unidentified,1735660018496
P,Unidentified,1735660018498
R,Unidentified,1735660018506
P,Unidentified,1735660018881
R,Unidentified,1735660018882
P,Unidentified,1735660018978
R,Unidentified,1735660018981
P,Unidentified,1735660019054
R,Unidentified,1735660019063
P,Unidentified,1735660019183
R,Unidentified,1735660019191
P,Unidentified,1735660019297
R,Unidentified,1735660019305
P,Unidentified,1735660019307
R,Unidentified,1735660019315
P,Unidentified,1735660020805
R,Unidentified,1735660020812
P,Unidentified,1735660020968
R,Unidentified,1735660020975
P,Unidentified,1735660021081
R,Unidentified,1735660021089
P,Unidentified,1735660021313
R,Unidentified,1735660021316
P,Unidentified,1735660021515
R,Unidentified,1735660021522
P,Unidentified,1735660021692
R,Unidentified,1735660021701
P,Unidentified,1735660021857
R,Unidentified,1735660021865
P,Unidentified,1735660021867
R,Unidentified,1735660021871
P,Unidentified,1735660022077
R,Unidentified,1735660022086
P,Unidentified,1735660022697
R,Unidentified,1735660022700
P,Unidentified,1735660023475
R,Unidentified,1735660023479
P,Unidentified,1735660023673
R,Unidentified,1735660023681
P,Unidentified,1735660023881
R,Unidentified,1735660023888
P,Unidentified,1735660024004
R,Unidentified,1735660024012
P,Unidentified,1735660024151
R,Unidentified,1735660024160
P,Unidentified,1735660024161
R,Unidentified,1735660024170
P,Unidentified,1735660024618
R,Unidentified,1735660024628
P,Unidentified,1735660024664
R,Unidentified,1735660024670
P,Unidentified,1735660024980
R,Unidentified,1735660024986
P,Unidentified,1735660025292
R,Unidentified,1735660025300
P,Unidentified,1735660025456
R,Unidentified,1735660025465
P,Unidentified,1735660025662
R,Unidentified,1735660025671
P,Unidentified,1735660025890
R,Unidentified,1735660025897
P,Unidentified,1735660026249
R,Unidentified,1735660026256
P,Unidentified,1735660026257
R,Unidentified,1735660026267
P,Unidentified,1735660026795
R,Unidentified,1735660026802
P,Unidentified,1735660026896
R,Unidentified,1735660026903
P,Unidentified,1735660027096
R,Unidentified,1735660027104
P,Unidentified,1735660027239
R,Unidentified,1735660027247
P,Unidentified,1735660027471
R,Unidentified,1735660027480
P,Unidentified,1735660027640
R,Unidentified,1735660027648
P,Unidentified,1735660027849
R,Unidentified,1735660027857
P,Unidentified,1735660027966
R,Unidentified,1735660027971
P,Unidentified,1735660028100
R,Unidentified,1735660028106
P,Unidentified,1735660028108
R,Unidentified,1735660028116
P,Unidentified,1735660028345
R,Unidentified,1735660028352
P,Unidentified,1735660028562
R,Unidentified,1735660028569
P,Unidentified,1735660065424
R,Unidentified,1735660065429
P,Unidentified,1735660065430
R,Unidentified,1735660065434
P,Unidentified,1735660065954
R,Unidentified,1735660065960
P,Unidentified,1735660066015
R,Unidentified,1735660066017
P,Unidentified,1735660066221
R,Unidentified,1735660066225
P,Unidentified,1735660066279
R,Unidentified,1735660066288
P,Unidentified,1735660066459
R,Unidentified,1735660066463
P,Unidentified,1735660066463
R,Unidentified,1735660066471
P,Unidentified,1735660066671
R,Unidentified,1735660066678
P,Unidentified,1735660066693
R,Unidentified,1735660066699
P,Unidentified,1735660066840
R,Unidentified,1735660066848
P,Unidentified,1735660066988
R,Unidentified,1735660066994
P,Unidentified,1735660067287
R,Unidentified,1735660067294
P,Unidentified,1735660067295
R,Unidentified,1735660067301
P,Unidentified,1735660069499
R,Unidentified,1735660069501
P,Unidentified,1735660069679
R,Unidentified,1735660069683
P,Unidentified,1735660069845
R,Unidentified,1735660069853
P,Unidentified,1735660070035
R,Unidentified,1735660070040
P,Unidentified,1735660070093
R,Unidentified,1735660070100
P,Unidentified,1735660070101
R,Unidentified,1735660070109
P,Unidentified,1735660070312
R,Unidentified,1735660070319
P,Unidentified,1735660070451
R,Unidentified,1735660070456
P,Unidentified,1735660070539
R,Unidentified,1735660070544
P,Unidentified,1735660070670
R,Unidentified,1735660070678
P,Unidentified,1735660070852
R,Unidentified,1735660070855
P,Unidentified,1735660071067
R,Unidentified,1735660071070
P,Unidentified,1735660071215
R,Unidentified,1735660071224
P,Unidentified,1735660071894
R,Unidentified,1735660071903
P,Unidentified,1735660071905
R,Unidentified,1735660071912
P,Unidentified,1735660072404
R,Unidentified,1735660072409
P,Unidentified,1735660072411
R,Unidentified,1735660072415
P,Unidentified,1735660072932
R,Unidentified,1735660072940
P,Unidentified,1735660072941
R,Unidentified,1735660072948
P,Unidentified,1735660073362
R,Unidentified,1735660073367
P,Unidentified,1735660073369
R,Unidentified,1735660073375
P,Unidentified,1735660073691
R,Unidentified,1735660073697
P,Unidentified,1735660073699
R,Unidentified,1735660073705
P,Unidentified,1735660074006
R,Unidentified,1735660074013
P,Unidentified,1735660074014
R,Unidentified,1735660074019
P,Unidentified,1735660074203
R,Unidentified,1735660074212
P,Unidentified,1735660074213
R,Unidentified,1735660074218
P,Unidentified,1735660074387
R,Unidentified,1735660074397
P,Unidentified,1735660074398
R,Unidentified,1735660074403
P,Unidentified,1735660074550
R,Unidentified,1735660074554
P,Unidentified,1735660074555
R,Unidentified,1735660074559
P,Unidentified,1735660074732
R,Unidentified,1735660074741
P,Unidentified,1735660074742
R,Unidentified,1735660074745
P,Unidentified,1735660074898
R,Unidentified,1735660074907
P,Unidentified,1735660074909
R,Unidentified,1735660074915
P,Unidentified,1735660075063
R,Unidentified,1735660075066
P,Unidentified,1735660075067
R,Unidentified,1735660075070
P,Unidentified,1735660075213
R,Unidentified,1735660075223
P,Unidentified,1735660075227
R,Unidentified,1735660075233
P,Unidentified,1735660075393
R,Unidentified,1735660075398
P,Unidentified,1735660075399
R,Unidentified,1735660075403
P,Unidentified,1735660075541
R,Unidentified,1735660075550
P,Unidentified,1735660075552
R,Unidentified,1735660075559
P,Unidentified,1735660075707
R,Unidentified,1735660075715
P,Unidentified,1735660075718
R,Unidentified,1735660075725
P,Unidentified,1735660075891
R,Unidentified,1735660075897
P,Unidentified,1735660075899
R,Unidentified,1735660075903
P,Unidentified,1735660076037
R,Unidentified,1735660076046
P,Unidentified,1735660076048
R,Unidentified,1735660076055
P,Unidentified,1735660076221
R,Unidentified,1735660076225
P,Unidentified,1735660076227
R,Unidentified,1735660076234
P,Unidentified,1735660076366
R,Unidentified,1735660076376
P,Unidentified,1735660076379
R,Unidentified,1735660076387
P,Unidentified,1735660076548
R,Unidentified,1735660076556
P,Unidentified,1735660076558
R,Unidentified,1735660076563
P,Unidentified,1735660076749
R,Unidentified,1735660076758
P,Unidentified,1735660076759
R,Unidentified,1735660076767
P,Unidentified,1735660076944
R,Unidentified,1735660076954
P,Unidentified,1735660076955
R,Unidentified,1735660076958
P,Unidentified,1735660077178
R,Unidentified,1735660077187
P,Unidentified,1735660077188
R,Unidentified,1735660077195
P,Unidentified,1735660077341
R,Unidentified,1735660077350
P,Unidentified,1735660077351
R,Unidentified,1735660077355
