Press or Release,Key,Time
P,c,1735660003934
R,c,1735660004053
P,o,1735660004527
R,o,1735660004619
P,a,1735660004847
R,a,1735660004972
P,c,1735660005208
R,c,1735660005329
P,h,1735660005575
R,h,1735660005654
P,Key.space,1735660005849
R,Key.space,1735660005935
P,c,1735660006328
R,c,1735660006418
P,a,1735660006567
R,a,1735660006684
P,r,1735660006809
R,r,1735660006893
P,t,1735660007062
R,t,1735660007172
P,e,1735660007300
R,e,1735660007403
P,r,1735660007628
R,r,1735660007737
P,Key.space,1735660007996
R,Key.space,1735660008049
P,a,1735660009392
R,a,1735660009494
P,s,1735660009641
R,s,1735660009748
P,Key.space,1735660009937
R,Key.space,1735660010029
P,a,1735660010397
R,a,1735660010514
P,Key.space,1735660010681
R,Key.space,1735660010768
P,m,1735660011393
R,m,1735660011485
P,e,1735660011732
R,e,1735660011864
P,n,1735660011948
R,n,1735660012055
P,t,1735660012369
R,t,1735660012453
P,o,1735660013102
R,o,1735660013182
P,r,1735660013512
R,r,1735660013629
P,Key.space,1735660013765
R,Key.space,1735660013889
P,f,1735660014053
R,f,1735660014140
P,r,1735660014288
R,r,1735660014378
P,o,1735660014894
R,o,1735660014968
P,m,1735660015147
R,m,1735660015230
P,Key.space,1735660015400
R,Key.space,1735660015480
P,b,1735660016618
R,b,1735660016704
P,a,1735660016874
R,a,1735660017025
P,s,1735660017246
R,s,1735660017354
P,k,1735660017753
R,k,1735660017842
P,e,1735660018154
R,e,1735660018249
P,t,1735660018438
R,t,1735660018519
P,Key.space,1735660018648
R,Key.space,1735660018782
P,b,1735660021028
R,b,1735660021189
P,a,1735660021373
R,a,1735660021434
P,l,1735660021620
R,l,1735660021692
P,Key.space,1735660021965
R,Key.space,1735660022016
P,Key.backspace,1735660023810
R,Key.backspace,1735660023844
P,l,1735660024560
R,l,1735660024605
P,Key.space,1735660024884
R,Key.space,1735660024938
P,p,1735660026074
R,p,1735660026159
P,l,1735660026458
R,l,1735660026540
P,a,1735660026718
R,a,1735660026853
P,y,1735660027092
R,y,1735660027172
P,e,1735660027587
R,e,1735660027685
P,r,1735660027792
R,r,1735660027885
P,s,1735660027982
R,s,1735660028115
P,Key.space,1735660028311
R,Key.space,1735660028417
P,t,1735660036878
R,t,1735660036983
P,h,1735660037108
R,h,1735660037200
P,e,1735660037288
R,e,1735660037393
P,Key.space,1735660037493
R,Key.space,1735660037573
P,f,1735660037782
R,f,1735660037895
P,l,1735660038608
R,l,1735660038695
P,i,1735660038863
R,i,1735660038932
P,m,1735660039149
R,m,1735660039217
P,Key.space,1735660039429
R,Key.space,1735660039512
P,u,1735660041010
R,u,1735660041098
P,n,1735660041387
R,n,1735660041428
P,d,1735660043464
R,d,1735660043574
P,e,1735660043818
R,e,1735660043924
P,r,1735660044064
R,r,1735660044158
P,s,1735660044525
R,s,1735660044619
P,i,1735660045295
R,i,1735660045296
P,Key.backspace,1735660045809
R,Key.backspace,1735660045893
P,o,1735660046243
R,o,1735660046295
P,r,1735660065243
R,r,1735660065337
P,e,1735660065605
R,e,1735660065724
P,s,1735660066373
R,s,1735660066497
P,Key.space,1735660066728
R,Key.space,1735660066813
P,Key.space,1735660071317
R,Key.space,1735660071459
P,t,1735660075338
R,t,1735660075407
P,h,1735660075593
R,h,1735660075687
P,a,1735660075836
R,a,1735660075988
P,t,1735660076115
R,t,1735660076192
P,Key.space,1735660076463
R,Key.space,1735660076535
P,a,1735660076797
R,a,1735660076898
P,c,1735660077183
R,c,1735660077267
P,a,1735660077483
R,a,1735660077643
P,d,1735660082612
R,d,1735660082695
P,e,1735660082894
R,e,1735660082966
P,m,1735660083422
R,m,1735660083527
P,i,1735660083739
R,i,1735660083834
P,c,1735660084050
R,c,1735660084146
P,Key.space,1735660084435
R,Key.space,1735660084522
P,s,1735660086305
R,s,1735660086433
P,u,1735660086713
R,u,1735660086773
P,c,1735660086999
R,c,1735660087079
P,c,1735660089030
R,c,1735660089177
P,e,1735660089405
R,e,1735660089615
P,s,1735660089630
R,s,1735660089743
P,s,1735660089947
R,s,1735660089949
P,Key.space,1735660089949
R,Key.space,1735660090163
P,Key.space,1735660090235
R,Key.space,1735660090284
P,Key.backspace,1735660091863
R,Key.backspace,1735660091907
P,i,1735660094798
R,i,1735660094914
P,s,1735660095138
R,s,1735660095253
P,Key.space,1735660095437
R,Key.space,1735660095550
P,c,1735660097139
R,c,1735660097266
P,r,1735660097463
R,r,1735660097589
P,u,1735660098328
R,u,1735660098437
P,c,1735660101145
R,c,1735660101257
P,i,1735660101394
R,i,1735660101477
P,a,1735660101648
R,a,1735660101794
P,l,1735660101935
R,l,1735660102015
P,Key.space,1735660102318
R,Key.space,1735660102377
P,a,1735660105434
R,a,1735660105555
P,n,1735660105753
R,n,1735660105862
P,d,1735660106055
R,d,1735660106184
P,Key.space,1735660106390
R,Key.space,1735660106489
P,s,1735660107658
R,s,1735660107779
P,p,1735660108002
R,p,1735660108103
P,o,1735660108269
R,o,1735660108344
P,r,1735660108582
R,r,1735660108688
P,t,1735660108881
R,t,1735660108965
P,s,1735660109147
R,s,1735660109313
P,Key.space,1735660109519
R,Key.space,1735660109637
P,s,1735660110684
R,s,1735660110782
P,h,1735660110982
R,h,1735660111058
P,o,1735660111582
R,o,1735660111679
P,u,1735660111960
R,u,1735660112030
P,l,1735660112498
R,l,1735660112594
P,d,1735660113024
R,d,1735660113113
P,Key.space,1735660113308
R,Key.space,1735660113417
P,c,1735660114632
R,c,1735660114732
P,o,1735660114983
R,o,1735660115053
P,m,1735660115297
R,m,1735660115347
P,p,1735660115713
R,p,1735660115789
P,l,1735660115962
R,l,1735660116034
P,e,1735660116373
R,e,1735660116475
P,m,1735660116772
R,m,1735660116853
P,e,1735660117004
R,e,1735660117113
P,n,1735660117200
R,n,1735660117288
P,t,1735660117539
R,t,1735660117618
P,Key.space,1735660117978
R,Key.space,1735660118064
P,n,1735660119038
R,n,1735660119109
P,o,1735660119328
R,o,1735660119437
P,t,1735660119699
R,t,1735660119780
P,Key.space,1735660119883
R,Key.space,1735660120020
P,r,1735660120317
R,r,1735660120417
P,e,1735660120567
R,e,1735660120667
P,p,1735660121798
R,p,1735660121888
P,l,1735660122194
R,l,1735660122267
P,a,1735660122441
R,a,1735660122542
P,c,1735660122873
R,c,1735660122997
P,e,1735660123228
R,e,1735660123322
P,Key.space,1735660123703
R,Key.space,1735660123792
P,Key.space,1735660131689
R,Key.space,1735660131773
P,e,1735660132121
R,e,1735660132209
P,d,1735660132332
R,d,1735660132408
P,u,1735660132903
R,u,1735660132990
P,c,1735660133292
R,c,1735660133362
P,a,1735660133627
R,a,1735660133683
P,t,1735660134154
R,t,1735660134225
P,i,1735660134632
R,i,1735660134697
P,o,1735660134844
R,o,1735660134912
P,n,1735660135112
R,n,1735660135173
P,a,1735660135524
R,a,1735660135608
