Press or Release,Key,Time
P,Key.shift,1735660003637
P,H,1735660003888
R,H,1735660004029
R,Key.shift,1735660004036
P,a,1735660004167
R,a,1735660004310
P,h,1735660004325
P,a,1735660004441
R,h,1735660004469
R,a,1735660004569
P,Key.comma,1735660006490
R,Key.comma,1735660006605
P,Key.space,1735660007526
R,Key.space,1735660007670
P,c,1735660007805
R,c,1735660007919
P,a,1735660008054
P,n,1735660008169
R,a,1735660008190
R,n,1735660008272
P,Key.space,1735660008328
R,Key.space,1735660008427
P,p,1735660008515
R,p,1735660008643
P,r,1735660008661
P,o,1735660008776
R,r,1735660008805
R,o,1735660008891
P,d,1735660008935
R,d,1735660009082
P,u,1735660009155
R,u,1735660009285
P,Key.backspace,1735660009791
R,Key.backspace,1735660009904
P,Key.backspace,1735660009954
R,Key.backspace,1735660010067
P,u,1735660010395
R,u,1735660010500
P,d,1735660010515
R,d,1735660010657
P,l,1735660010682
R,l,1735660010775
P,y,1735660010820
R,y,1735660010953
P,Key.space,1735660011035
R,Key.space,1735660011185
P,s,1735660011282
R,s,1735660011408
P,a,1735660011516
R,a,1735660011662
P,y,1735660011680
R,y,1735660011807
P,Key.space,1735660011935
R,Key.space,1735660012088
P,i,1735660012239
R,i,1735660012360
P,Key.backspace,1735660012672
R,Key.backspace,1735660012804
P,Key.shift,1735660012820
P,I,1735660012963
R,Key.shift,1735660013051
R,I,1735660013068
P,Key.space,1735660013154
R,Key.space,1735660013270
P,w,1735660013322
R,w,1735660013435
P,a,1735660013520
R,a,1735660013662
P,t,1735660013669
R,t,1735660013777
P,c,1735660013887
R,c,1735660014014
P,h,1735660014024
R,h,1735660014123
P,e,1735660014154
R,e,1735660014276
P,d,1735660014359
P,Key.space,1735660014464
R,d,1735660014479
R,Key.space,1735660014588
P,t,1735660014702
P,h,1735660014806
R,t,1735660014845
R,h,1735660014922
P,i,1735660014973
R,i,1735660015083
P,s,1735660015088
R,s,1735660015203
P,Key.space,1735660015221
R,Key.space,1735660015360
P,l,1735660015478
R,l,1735660015587
P,i,1735660015665
R,i,1735660015757
P,f,1735660015802
R,f,1735660015968
P,e,1735660016835
R,e,1735660016977
P,.,1735660017403
R,.,1735660017517
P,Key.space,1735660017606
P,Key.shift,1735660017684
R,Key.space,1735660017733
P,D,1735660017858
P,I,1735660017934
R,Key.shift,1735660017979
R,D,1735660018007
R,I,1735660018045
P,d,1735660018109
R,d,1735660018265
P,Key.backspace,1735660018788
R,Key.backspace,1735660018932
P,Key.backspace,1735660018967
R,Key.backspace,1735660019085
P,i,1735660019250
R,i,1735660019377
P,d,1735660019387
R,d,1735660019529
P,Key.space,1735660019880
R,Key.space,1735660020030
P,Key.shift,1735660020251
P,C,1735660020465
R,Key.shift,1735660020558
P,h,1735660020569
R,C,1735660020586
R,h,1735660020684
P,r,1735660020719
P,i,1735660020828
R,r,1735660020857
R,i,1735660020934
P,s,1735660020978
P,Key.space,1735660021117
R,s,1735660021124
R,Key.space,1735660021236
P,d,1735660021490
R,d,1735660021633
