Press or Release,Key,Time
P,c,1735660003445
R,c,1735660003585
P,h,1735660003724
R,h,1735660003840
P,Key.backspace,1735660005199
R,Key.backspace,1735660005255
P,Key.backspace,1735660005342
R,Key.backspace,1735660005394
P,Key.backspace,1735660005501
R,Key.backspace,1735660005544
P,Key.shift,1735660005847
P,C,1735660006266
R,C,1735660006454
R,Key.shift,1735660006468
P,h,1735660006544
R,h,1735660006639
P,r,1735660006924
R,r,1735660007036
P,i,1735660007161
R,i,1735660007258
P,s,1735660007441
R,s,1735660007540
P,Key.space,1735660007566
R,Key.space,1735660007657
P,r,1735660008488
R,r,1735660008587
P,o,1735660008767
R,o,1735660008853
P,c,1735660009066
R,c,1735660009187
P,k,1735660009441
R,k,1735660009521
P,Key.space,1735660009678
R,Key.space,1735660009737
P,w,1735660010159
R,w,1735660010268
P,a,1735660010393
R,a,1735660010515
P,s,1735660010581
P,Key.space,1735660010641
R,s,1735660010672
R,Key.space,1735660010723
P,p,1735660011709
R,p,1735660011807
P,r,1735660012063
R,r,1735660012149
P,e,1735660013460
R,e,1735660013563
P,s,1735660013683
R,s,1735660013800
P,e,1735660013956
R,e,1735660014050
P,n,1735660014353
R,n,1735660014446
P,t,1735660014603
R,t,1735660014691
P,i,1735660014861
R,i,1735660014951
P,n,1735660015171
R,n,1735660015268
P,g,1735660015428
R,g,1735660015494
P,Key.space,1735660015874
R,Key.space,1735660015944
P,a,1735660053890
R,a,1735660054056
P,w,1735660054315
R,w,1735660054405
P,a,1735660054545
R,a,1735660054650
P,r,1735660054865
R,r,1735660054931
P,d,1735660055079
R,d,1735660055192
P,Key.space,1735660055195
R,Key.space,1735660055305
P,a,1735660057104
R,a,1735660057285
P,n,1735660057502
R,n,1735660057605
P,d,1735660057707
R,d,1735660057841
P,Key.space,1735660057849
R,Key.space,1735660057934
P,t,1735660058042
R,t,1735660058142
P,h,1735660058167
R,h,1735660058268
P,e,1735660058380
R,e,1735660058501
P,n,1735660058659
R,n,1735660058755
P,Key.space,1735660058870
R,Key.space,1735660058919
P,h,1735660060416
R,h,1735660060522
P,e,1735660060606
R,e,1735660060728
P,Key.space,1735660060765
R,Key.space,1735660060825
P,m,1735660062640
R,m,1735660062723
P,a,1735660063332
R,a,1735660063478
P,d,1735660063971
R,d,1735660064088
P,e,1735660064105
P,Key.space,1735660064215
R,e,1735660064263
R,Key.space,1735660064316
P,a,1735660064667
R,a,1735660064821
P,Key.space,1735660064838
R,Key.space,1735660064903
P,j,1735660065597
R,j,1735660065655
P,o,1735660066047
R,o,1735660066108
P,k,1735660066331
R,k,1735660066382
P,e,1735660066551
R,e,1735660066646
P,Key.space,1735660066657
R,Key.space,1735660066740
P,a,1735660067822
R,a,1735660067956
P,b,1735660068778
R,b,1735660068871
P,o,1735660069250
R,o,1735660069344
P,t,1735660069735
R,t,1735660069768
P,Key.space,1735660069813
R,Key.space,1735660069899
P,Key.backspace,1735660071231
R,Key.backspace,1735660071308
P,Key.backspace,1735660072366
R,Key.backspace,1735660072465
P,u,1735660072857
R,u,1735660072937
P,t,1735660073219
R,t,1735660073288
P,Key.space,1735660073575
R,Key.space,1735660073622
P,c,1735660074891
R,c,1735660075002
P,Key.backspace,1735660076113
R,Key.backspace,1735660076191
P,w,1735660076876
R,w,1735660077000
P,i,1735660077202
R,i,1735660077265
P,l,1735660077506
R,l,1735660077580
P,l,1735660077650
R,l,1735660077719
P,Key.space,1735660077884
R,Key.space,1735660077954
P,s,1735660078282
R,s,1735660078422
P,m,1735660078684
R,m,1735660078780
P,i,1735660078887
R,i,1735660079007
P,t,1735660079246
R,t,1735660079353
P,h,1735660079408
R,h,1735660079484
P,',1735660080800
R,',1735660080873
P,s,1735660081038
R,s,1735660081176
P,Key.space,1735660081183
R,Key.space,1735660081230
P,w,1735660087468
R,w,1735660087574
P,i,1735660087699
R,i,1735660087785
P,f,1735660088444
R,f,1735660088598
P,e,1735660088608
R,e,1735660088732
P,Key.space,1735660088738
R,Key.space,1735660088848
P,w,1735660089688
R,w,1735660089819
P,h,1735660090061
R,h,1735660090157
P,i,1735660090537
R,i,1735660090635
P,c,1735660090891
R,c,1735660090992
P,h,1735660091128
R,h,1735660091197
P,Key.space,1735660091348
R,Key.space,1735660091436
P,m,1735660091779
R,m,1735660091866
P,a,1735660091890
R,a,1735660092031
P,d,1735660092168
R,d,1735660092283
P,e,1735660092300
R,e,1735660092405
P,Key.space,1735660092412
R,Key.space,1735660092496
P,w,1735660093676
R,w,1735660093797
P,i,1735660093985
R,i,1735660094056
P,l,1735660094455
R,l,1735660094505
P,l,1735660094646
R,l,1735660094720
P,Key.space,1735660095033
R,Key.space,1735660095108
P,s,1735660095616
R,s,1735660095745
P,m,1735660095862
R,m,1735660095983
P,i,1735660096106
R,i,1735660096222
P,t,1735660096443
R,t,1735660096539
P,h,1735660096573
R,h,1735660096647
P,Key.space,1735660096798
R,Key.space,1735660096890
P,a,1735660097239
R,a,1735660097376
P,n,1735660097515
R,n,1735660097584
P,g,1735660098731
R,g,1735660098832
P,e,1735660098985
R,e,1735660099082
P,Key.backspace,1735660099620
R,Key.backspace,1735660099707
P,r,1735660099828
R,r,1735660099916
P,y,1735660100699
R,y,1735660100804
P,.,1735660103968
R,.,1735660104041
P,Key.space,1735660104332
R,Key.space,1735660104408
P,Key.shift,1735660105073
P,A,1735660105384
R,Key.shift,1735660105444
R,A,1735660105569
P,n,1735660105798
R,n,1735660105909
P,d,1735660106043
R,d,1735660106117
P,Key.space,1735660106146
R,Key.space,1735660106242
P,t,1735660107189
R,t,1735660107273
P,h,1735660107357
R,h,1735660107463
P,e,1735660107576
R,e,1735660107702
P,n,1735660107876
R,n,1735660107944
P,Key.space,1735660108060
R,Key.space,1735660108102
P,w,1735660111089
R,w,1735660111205
P,i,1735660111521
R,i,1735660111582
P,l,1735660111808
R,l,1735660111888
P,l,1735660111968
R,l,1735660112017
P,Key.space,1735660112209
R,Key.space,1735660112258
P,s,1735660113797
R,s,1735660113921
P,m,1735660114099
R,m,1735660114186
P,i,1735660114394
R,i,1735660114483
P,t,1735660114758
R,t,1735660114861
P,h,1735660114915
R,h,1735660114996
P,Key.space,1735660115139
R,Key.space,1735660115235
