Press or Release,Key,Time
P,Key.shift,1735660061588
P,A,1735660061697
R,Key.shift,1735660061826
R,A,1735660061873
P,n,1735660061937
R,n,1735660062081
P,Key.space,1735660062145
R,Key.space,1735660062241
P,a,1735660062562
R,a,1735660062689
P,n,1735660063601
R,n,1735660063729
P,c,1735660064081
R,c,1735660064194
P,h,1735660064289
P,o,1735660064481
R,h,1735660064529
R,o,1735660064641
P,r,1735660064657
P,Key.space,1735660064753
R,r,1735660064769
R,Key.space,1735660064866
P,Key.backspace,1735660066449
R,Key.backspace,1735660067555
P,Key.shift,1735660068962
P,I,1735660069777
R,Key.shift,1735660069906
R,I,1735660069906
P,n,1735660070243
R,n,1735660070418
P,Key.space,1735660070481
R,Key.space,1735660070594
P,t,1735660070770
P,h,1735660070785
R,t,1735660070881
R,h,1735660070897
P,i,1735660070962
P,s,1735660071026
R,i,1735660071058
R,s,1735660071170
P,Key.space,1735660071170
R,Key.space,1735660071249
P,s,1735660071666
R,s,1735660071825
P,t,1735660071905
R,t,1735660072033
P,a,1735660072034
P,g,1735660072162
R,a,1735660072194
R,g,1735660072337
P,e,1735660072497
R,e,1735660072625
P,Key.space,1735660072690
R,Key.space,1735660072802
P,a,1735660072994
P,n,1735660073121
R,a,1735660073186
R,n,1735660073249
P,Key.space,1735660074161
R,Key.space,1735660074289
P,a,1735660074370
R,a,1735660074545
P,n,1735660074562
R,n,1735660074690
P,c,1735660074705
R,c,1735660074833
P,h,1735660074834
R,h,1735660074945
P,o,1735660074977
R,o,1735660075122
P,r,1735660075122
R,r,1735660075249
P,Key.space,1735660075249
R,Key.space,1735660075314
P,d,1735660075361
R,d,1735660075523
P,o,1735660075538
P,i,1735660075666
R,o,1735660075714
R,i,1735660075777
P,n,1735660075922
R,n,1735660076114
P,g,1735660076130
R,g,1735660076242
P,Key.space,1735660076737
R,Key.space,1735660076850
P,h,1735660076881
R,h,1735660076978
P,i,1735660077057
R,i,1735660077154
P,s,1735660077169
R,s,1735660077297
P,Key.space,1735660077329
R,Key.space,1735660077427
P,j,1735660078049
R,j,1735660078130
P,o,1735660078306
R,o,1735660078417
P,b,1735660078530
R,b,1735660078594
P,Key.space,1735660078721
