Press or Release,Key,Time
P,Key.caps_lock,1735660006791
R,Key.caps_lock,1735660006999
P,A,1735660007235
R,A,1735660007412
P,Key.caps_lock,1735660007464
R,Key.caps_lock,1735660007656
P,s,1735660008580
R,s,1735660008691
P,Key.space,1735660008899
R,Key.space,1735660009002
P,o,1735660009618
R,o,1735660009715
P,f,1735660010297
R,f,1735660010403
P,Key.space,1735660010534
R,Key.space,1735660010611
P,c,1735660010820
R,c,1735660010916
P,Key.backspace,1735660011466
R,Key.backspace,1735660011541
P,o,1735660011827
R,o,1735660011907
P,c,1735660012165
R,c,1735660012258
P,t,1735660012455
R,t,1735660012532
P,o,1735660012981
R,o,1735660013059
P,b,1735660013320
R,b,1735660013396
P,e,1735660013525
P,r,1735660013620
R,e,1735660013636
R,r,1735660013699
P,Key.space,1735660014955
R,Key.space,1735660015033
P,2,1735660015514
R,2,1735660015589
P,0,1735660015700
R,0,1735660015780
P,2,1735660015891
R,2,1735660015973
P,3,1735660016067
R,3,1735660016147
P,Key.comma,1735660016852
R,Key.comma,1735660016950
P,Key.space,1735660017540
R,Key.space,1735660017635
P,t,1735660018326
R,t,1735660018421
P,h,1735660018533
R,h,1735660018627
P,e,1735660018724
R,e,1735660018819
P,r,1735660018854
R,r,1735660018935
P,e,1735660019092
R,e,1735660019174
P,Key.space,1735660019508
R,Key.space,1735660019589
P,h,1735660019860
R,h,1735660019941
P,a,1735660019989
R,a,1735660020100
P,v,1735660020407
R,v,1735660020468
P,e,1735660020675
R,e,1735660020756
P,Key.space,1735660020853
R,Key.space,1735660020920
P,b,1735660021107
R,b,1735660021187
P,e,1735660021300
R,e,1735660021365
P,n,1735660021572
R,n,1735660021651
P,n,1735660021734
R,n,1735660021813
P,Key.space,1735660021957
R,Key.space,1735660022036
P,n,1735660023124
R,n,1735660023236
P,o,1735660023386
R,o,1735660023464
P,Key.space,1735660023636
R,Key.space,1735660023715
P,p,1735660023924
R,p,1735660024019
P,u,1735660024329
R,u,1735660024415
P,b,1735660026563
R,b,1735660026676
P,l,1735660026788
R,l,1735660026884
P,i,1735660027029
R,i,1735660027125
P,c,1735660027447
R,c,1735660027572
P,y,1735660027732
R,y,1735660027814
P,Key.space,1735660037157
R,Key.space,1735660037317
P,r,1735660037604
R,r,1735660037701
P,e,1735660038487
R,e,1735660038679
P,o,1735660039655
R,o,1735660039766
P,r,1735660040278
R,r,1735660040390
P,t,1735660040517
R,t,1735660040612
P,e,1735660040742
R,e,1735660040869
P,d,1735660040997
R,d,1735660041093
P,Key.space,1735660043109
R,Key.space,1735660043254
P,m,1735660043685
R,m,1735660043829
P,e,1735660044119
R,e,1735660044196
P,e,1735660044309
R,e,1735660044393
P,t,1735660044437
R,t,1735660044518
P,i,1735660044967
R,i,1735660045061
P,n,1735660045318
R,n,1735660045383
P,g,1735660045749
R,g,1735660045910
P,Key.space,1735660047378
R,Key.space,1735660047509
P,f,1735660047991
R,f,1735660048103
P,o,1735660048266
R,o,1735660048342
P,r,1735660048685
R,r,1735660048794
P,m,1735660048902
R,m,1735660048998
P,e,1735660049173
R,e,1735660049289
P,r,1735660049324
R,r,1735660049399
P,Key.space,1735660050247
R,Key.space,1735660050358
P,p,1735660050918
R,p,1735660051014
P,r,1735660051510
R,r,1735660051589
P,e,1735660051717
R,e,1735660051829
P,s,1735660052455
R,s,1735660052583
P,i,1735660052692
R,i,1735660052789
P,d,1735660053317
R,d,1735660053397
P,e,1735660053482
R,e,1735660053590
P,n,1735660053878
R,n,1735660053958
P,t,1735660054134
R,t,1735660054230
P,Key.space,1735660055062
R,Key.space,1735660055173
P,d,1735660055926
R,d,1735660056053
P,o,1735660056155
R,o,1735660056245
P,n,1735660056459
R,n,1735660056551
P,a,1735660056664
R,a,1735660056773
P,l,1735660056839
R,l,1735660056925
P,d,1735660057301
R,d,1735660057415
P,Key.space,1735660057510
R,Key.space,1735660057593
P,t,1735660057911
R,t,1735660058023
P,r,1735660058182
R,r,1735660058261
P,u,1735660058521
R,u,1735660058600
P,m,1735660058791
R,m,1735660058885
P,p,1735660059094
R,p,1735660059174
P,Key.space,1735660060215
R,Key.space,1735660060328
P,Key.comma,1735660202189
R,Key.comma,1735660202334
P,s,1735660202717
R,s,1735660202877
P,e,1735660203005
R,e,1735660203166
P,n,1735660203246
R,n,1735660203356
P,a,1735660203390
R,a,1735660203535
P,t,1735660203582
R,t,1735660203678
P,o,1735660204077
R,o,1735660204189
P,e,1735660204365
R,e,1735660204512
P,Key.space,1735660204637
R,Key.space,1735660204734
P,j,1735660205054
R,j,1735660205180
P,.,1735660205389
R,.,1735660205502
P,d,1735660206141
R,d,1735660206340
P,.,1735660206403
R,.,1735660206515
P,Key.space,1735660208959
R,Key.space,1735660209106
P,v,1735660209727
R,v,1735660209821
P,a,1735660209870
R,a,1735660210045
P,n,1735660210125
R,n,1735660210221
P,c,1735660210514
R,c,1735660210593
P,e,1735660210735
R,e,1735660210863
P,Key.comma,1735660211440
R,Key.comma,1735660211534
P,u,1735660211859
R,u,1735660211935
P,k,1735660212126
R,k,1735660212239
P,r,1735660212718
R,r,1735660212798
P,a,1735660212863
R,a,1735660213007
P,i,1735660213246
R,i,1735660213357
P,n,1735660213645
R,n,1735660213741
P,a,1735660214094
R,a,1735660214253
P,i,1735660214308
R,i,1735660214430
P,n,1735660214573
R,n,1735660214669
P,Key.space,1735660214813
R,Key.space,1735660214929
P,p,1735660215759
R,p,1735660215871
P,r,1735660216096
R,r,1735660216206
P,e,1735660216382
R,e,1735660216481
P,s,1735660216669
R,s,1735660216783
P,i,1735660216942
R,i,1735660217039
P,d,1735660217598
R,d,1735660217678
P,e,1735660217774
R,e,1735660217870
P,n,1735660218129
R,n,1735660218207
P,t,1735660218366
R,t,1735660218480
P,Key.space,1735660226270
R,Key.space,1735660226451
P,v,1735660228448
R,v,1735660228574
P,o,1735660228846
R,o,1735660228947
P,l,1735660229056
R,l,1735660229150
P,o,1735660229264
R,o,1735660229358
P,d,1735660229682
R,d,1735660229808
P,y,1735660230069
R,y,1735660230145
P,m,1735660230718
R,m,1735660230814
P,y,1735660230992
R,y,1735660231073
P,r,1735660231279
R,r,1735660231407
P,Key.space,1735660231631
R,Key.space,1735660231726
P,z,1735660233823
R,z,1735660233968
P,e,1735660234128
R,e,1735660234271
P,l,1735660234451
R,l,1735660234558
P,e,1735660234597
P,w,1735660234607
R,e,1735660234686
R,w,1735660234706
P,n,1735660236992
R,n,1735660237087
P,s,1735660237758
R,s,1735660237930
P,k,1735660238239
R,k,1735660238351
P,y,1735660238641
R,y,1735660238722
P,y,1735660238801
R,y,1735660238881
P,.,1735660240622
R,.,1735660240815
