Press or Release,Key,Time
P,Key.shift,1735660007369
P,T,1735660007778
R,Key.shift,1735660007809
R,T,1735660007840
P,h,1735660007977
R,h,1735660008067
P,i,1735660008237
R,i,1735660008332
P,s,1735660008378
R,s,1735660008471
P,Key.space,1735660008504
R,Key.space,1735660008581
P,i,1735660008708
R,i,1735660008781
P,s,1735660008818
R,s,1735660008914
P,Key.space,1735660009253
R,Key.space,1735660009350
P,a,1735660009485
R,a,1735660009585
P,Key.space,1735660009622
R,Key.space,1735660009723
P,m,1735660010196
P,o,1735660010319
R,m,1735660010364
R,o,1735660010462
P,t,1735660010561
R,t,1735660010658
P,i,1735660010682
R,i,1735660010790
P,v,1735660010896
R,v,1735660011010
P,a,1735660011216
R,a,1735660011329
P,t,1735660011530
P,i,1735660011618
R,t,1735660011645
P,o,1735660011712
R,i,1735660011781
P,n,1735660011805
R,o,1735660011841
R,n,1735660011947
P,a,1735660012060
R,a,1735660012149
P,l,1735660012172
R,l,1735660012301
P,Key.space,1735660012422
R,Key.space,1735660012527
P,p,1735660013733
R,p,1735660013898
P,o,1735660013976
R,o,1735660014063
P,Key.backspace,1735660014428
R,Key.backspace,1735660014511
P,Key.backspace,1735660014579
R,Key.backspace,1735660014647
P,v,1735660014949
R,v,1735660015034
P,i,1735660015174
P,d,1735660015271
R,i,1735660015284
R,d,1735660015365
P,e,1735660015448
R,e,1735660015562
P,o,1735660015572
R,o,1735660015694
P,.,1735660016169
R,.,1735660016255
P,Key.space,1735660016410
R,Key.space,1735660016464
P,Key.shift,1735660016628
P,S,1735660017436
R,Key.shift,1735660017524
R,S,1735660017548
P,t,1735660017548
R,t,1735660017648
P,u,1735660017673
R,u,1735660017790
P,d,1735660017796
P,e,1735660017888
R,d,1735660017937
P,n,1735660017982
R,e,1735660018022
R,n,1735660018129
P,t,1735660018193
P,Key.space,1735660018286
R,t,1735660018292
R,Key.space,1735660018443
P,t,1735660019171
R,t,1735660019262
P,h,1735660019365
R,h,1735660019430
P,a,1735660019466
R,a,1735660019536
P,n,1735660019619
P,k,1735660019745
R,n,1735660019801
P,s,1735660019846
R,k,1735660019856
R,s,1735660019955
P,Key.space,1735660019964
R,Key.space,1735660020117
P,h,1735660020531
P,i,1735660020630
R,h,1735660020690
P,s,1735660020745
R,i,1735660020750
R,s,1735660020836
P,Key.space,1735660020869
R,Key.space,1735660021006
P,o,1735660021179
R,o,1735660021283
P,Key.backspace,1735660021600
R,Key.backspace,1735660021700
P,c,1735660021793
R,c,1735660021889
P,o,1735660022346
R,o,1735660022418
P,a,1735660022445
R,a,1735660022556
P,c,1735660022708
P,h,1735660022808
R,c,1735660022811
R,h,1735660022896
P,Key.space,1735660022995
P,f,1735660023093
R,Key.space,1735660023111
R,f,1735660023166
P,o,1735660023238
P,r,1735660023332
R,o,1735660023363
R,r,1735660023440
P,Key.space,1735660023456
R,Key.space,1735660023598
P,h,1735660023883
R,h,1735660023978
P,e,1735660023983
R,e,1735660024079
P,l,1735660024284
P,p,1735660024417
R,l,1735660024488
R,p,1735660024577
P,i,1735660024730
P,n,1735660024858
R,i,1735660024871
P,g,1735660024955
R,n,1735660025006
P,Key.space,1735660025118
R,g,1735660025127
R,Key.space,1735660025295
P,h,1735660025695
R,h,1735660025802
P,i,1735660025945
R,i,1735660026095
P,m,1735660026177
R,m,1735660026278
P,Key.space,1735660026400
R,Key.space,1735660026484
P,o,1735660026773
R,o,1735660026853
P,v,1735660027146
R,v,1735660027234
P,e,1735660027241
R,e,1735660027338
P,r,1735660027429
R,r,1735660027529
P,c,1735660027713
R,c,1735660027830
P,o,1735660027834
R,o,1735660027961
P,m,1735660027977
R,m,1735660028100
P,e,1735660028127
P,Key.space,1735660028230
R,e,1735660028258
R,Key.space,1735660028379
P,f,1735660028993
R,f,1735660029083
P,e,1735660029094
R,e,1735660029174
P,a,1735660029302
P,r,1735660029386
R,a,1735660029405
R,r,1735660029461
P,.,1735660029983
R,.,1735660030072
P,Key.space,1735660033705
R,Key.space,1735660033748
P,Key.shift,1735660033991
P,H,1735660034166
R,H,1735660034244
R,Key.shift,1735660034276
P,e,1735660034615
R,e,1735660034722
P,Key.space,1735660034748
R,Key.space,1735660034852
P,s,1735660034943
R,s,1735660035053
P,a,1735660035161
R,a,1735660035257
P,y,1735660035262
R,y,1735660035344
P,s,1735660035406
R,s,1735660035554
P,Key.space,1735660035593
R,Key.space,1735660035687
P,t,1735660036570
R,t,1735660036649
P,h,1735660036746
R,h,1735660036809
P,a,1735660036859
R,a,1735660036958
P,t,1735660036962
R,t,1735660037039
P,Key.space,1735660037255
R,Key.space,1735660037350
P,r,1735660037492
R,r,1735660037590
P,e,1735660037682
R,e,1735660037762
P,a,1735660037907
P,l,1735660037995
R,a,1735660038009
R,l,1735660038097
P,Key.space,1735660038186
R,Key.space,1735660038314
P,f,1735660038417
R,f,1735660038503
P,e,1735660038627
R,e,1735660038733
P,a,1735660038868
P,r,1735660038950
R,a,1735660038981
R,r,1735660039047
P,Key.space,1735660039355
R,Key.space,1735660039455
P,c,1735660039502
R,c,1735660039591
P,o,1735660039607
P,m,1735660039721
R,o,1735660039741
R,m,1735660039870
P,e,1735660039890
R,e,1735660039981
P,s,1735660040134
R,s,1735660040245
P,Key.space,1735660040246
R,Key.space,1735660040367
P,f,1735660040683
P,r,1735660040808
R,f,1735660040863
P,o,1735660040870
R,r,1735660040935
R,o,1735660040991
P,m,1735660041064
R,m,1735660041183
P,Key.space,1735660041353
R,Key.space,1735660041417
P,e,1735660042066
R,e,1735660042147
P,Key.backspace,1735660042464
R,Key.backspace,1735660042581
P,b,1735660042856
P,e,1735660042966
R,b,1735660042968
R,e,1735660043059
P,i,1735660043182
P,n,1735660043212
R,n,1735660043280
R,i,1735660043358
P,g,1735660043539
R,g,1735660043659
P,Key.space,1735660043753
R,Key.space,1735660043868
P,Key.backspace,1735660045167
R,Key.backspace,1735660045700
P,Key.backspace,1735660045797
R,Key.backspace,1735660045909
P,Key.backspace,1735660045993
R,Key.backspace,1735660046111
P,Key.backspace,1735660046174
R,Key.backspace,1735660046416
P,Key.backspace,1735660046548
R,Key.backspace,1735660046662
P,b,1735660047415
P,e,1735660047538
R,b,1735660047542
R,e,1735660047640
P,i,1735660047681
R,i,1735660047810
P,n,1735660047869
R,n,1735660047962
P,g,1735660047968
R,g,1735660048080
P,Key.space,1735660048096
R,Key.space,1735660048261
P,t,1735660049028
P,o,1735660049135
R,t,1735660049149
R,o,1735660049233
P,o,1735660049306
R,o,1735660049383
P,Key.space,1735660049435
R,Key.space,1735660049555
P,c,1735660049586
R,c,1735660049665
P,a,1735660049825
P,p,1735660049959
R,a,1735660049968
R,p,1735660050062
P,a,1735660050071
R,a,1735660050170
P,b,1735660050218
R,b,1735660050329
P,l,1735660050353
P,e,1735660050458
R,l,1735660050481
R,e,1735660050571
P,.,1735660051560
R,.,1735660051669
P,Key.space,1735660055573
R,Key.space,1735660055650
P,Key.shift,1735660056015
R,Key.shift,1735660056778
P,Key.shift,1735660057087
P,Y,1735660057156
R,Y,1735660057325
R,Key.shift,1735660057342
P,o,1735660057407
P,u,1735660057601
R,o,1735660057625
R,u,1735660057758
P,Key.space,1735660057942
R,Key.space,1735660058081
P,c,1735660058363
R,c,1735660058443
P,a,1735660058727
R,a,1735660058889
P,n,1735660059014
R,n,1735660059108
P,Key.space,1735660059209
R,Key.space,1735660059319
P,e,1735660059572
R,e,1735660059669
P,l,1735660059717
P,i,1735660059858
R,l,1735660059907
R,i,1735660059996
P,m,1735660060108
P,i,1735660060295
R,m,1735660060311
R,i,1735660060415
P,n,1735660060517
R,n,1735660060609
P,a,1735660060736
R,a,1735660060869
P,t,1735660061330
R,t,1735660061433
P,e,1735660061451
R,e,1735660061543
