Press or Release,Key,Time
P,Key.shift,1735660003343
P,M,1735660003628
R,M,1735660003705
R,Key.shift,1735660003869
P,y,1735660004043
P,Key.space,1735660004125
R,y,1735660004129
R,Key.space,1735660004215
P,k,1735660004748
R,k,1735660004816
P,i,1735660004911
R,i,1735660005001
P,d,1735660005033
P,s,1735660005073
R,d,1735660005156
R,s,1735660005158
P,Key.space,1735660005183
R,Key.space,1735660005263
P,a,1735660005340
R,a,1735660005483
P,Key.backspace,1735660005687
R,Key.backspace,1735660005749
P,h,1735660005885
P,a,1735660005965
R,h,1735660005971
P,v,1735660006080
R,a,1735660006084
P,e,1735660006136
R,v,1735660006182
R,e,1735660006184
P,Key.space,1735660006247
R,Key.space,1735660006346
P,b,1735660006493
R,b,1735660006546
P,Key.backspace,1735660006828
R,Key.backspace,1735660006879
P,g,1735660006950
P,r,1735660006995
R,g,1735660007032
R,r,1735660007060
P,o,1735660007087
R,o,1735660007168
P,w,1735660007207
R,w,1735660007272
P,n,1735660007279
R,n,1735660007353
P,Key.space,1735660007388
R,Key.space,1735660007477
P,u,1735660007636
P,p,1735660007700
R,u,1735660007723
R,p,1735660007762
P,Key.cmd,1735660008302
P,a,1735660008314
P,Key.backspace,1735660008358
R,Key.cmd,1735660008390
R,a,1735660008392
R,Key.backspace,1735660008427
P,Key.shift,1735660008670
P,M,1735660008723
R,Key.shift,1735660008809
R,M,1735660008813
P,y,1735660008948
P,Key.space,1735660009029
R,y,1735660009040
R,Key.space,1735660009090
P,k,1735660009169
R,k,1735660009236
P,i,1735660009311
R,i,1735660009394
P,d,1735660009624
P,s,1735660009641
R,d,1735660009694
R,s,1735660009742
P,Key.space,1735660009942
R,Key.space,1735660010009
P,h,1735660010216
P,a,1735660010293
R,h,1735660010318
P,v,1735660010364
R,a,1735660010388
P,e,1735660010397
R,v,1735660010462
P,Key.space,1735660010474
R,e,1735660010480
R,Key.space,1735660010559
P,g,1735660010618
R,g,1735660010750
P,r,1735660010785
R,r,1735660010889
P,o,1735660010908
R,o,1735660010991
P,w,1735660011002
R,w,1735660011078
P,n,1735660011081
R,n,1735660011135
P,Key.space,1735660011209
R,Key.space,1735660011301
P,u,1735660011437
P,p,1735660011493
R,u,1735660011526
R,p,1735660011545
P,Key.space,1735660011676
R,Key.space,1735660011764
P,t,1735660011766
P,o,1735660011840
R,t,1735660011849
R,o,1735660011907
P,Key.space,1735660011977
R,Key.space,1735660012048
P,b,1735660012121
R,b,1735660012195
P,e,1735660012223
R,e,1735660012288
P,Key.space,1735660012328
R,Key.space,1735660012417
P,a,1735660012710
P,c,1735660012802
R,a,1735660012840
R,c,1735660012897
P,Key.backspace,1735660013097
R,Key.backspace,1735660013159
P,Key.backspace,1735660013300
R,Key.backspace,1735660013363
P,e,1735660014622
R,e,1735660014672
P,c,1735660015308
P,e,1735660015380
R,c,1735660015408
R,e,1735660015450
P,Key.backspace,1735660015730
R,Key.backspace,1735660015785
P,Key.backspace,1735660015862
P,x,1735660015936
R,Key.backspace,1735660015939
R,x,1735660016015
P,c,1735660016108
P,e,1735660016155
R,c,1735660016187
P,p,1735660016226
R,e,1735660016240
R,p,1735660016310
P,t,1735660016317
R,t,1735660016414
P,i,1735660016428
P,o,1735660016456
P,n,1735660016520
R,o,1735660016556
R,i,1735660016578
R,n,1735660016614
P,a,1735660016655
P,l,1735660016740
R,a,1735660016760
R,l,1735660016815
P,Key.space,1735660016920
R,Key.space,1735660016996
P,p,1735660017246
R,p,1735660017306
P,e,1735660017311
R,e,1735660017382
P,p,1735660017482
R,p,1735660017554
P,Key.backspace,1735660017914
R,Key.backspace,1735660017981
P,o,1735660018060
P,p,1735660018161
R,o,1735660018187
P,l,1735660018243
R,p,1735660018282
R,l,1735660018350
P,e,1735660018398
R,e,1735660018457
P,Key.space,1735660018530
R,Key.space,1735660018609
P,i,1735660018651
P,n,1735660018708
R,i,1735660018746
R,n,1735660018762
P,Key.space,1735660018823
R,Key.space,1735660018895
P,t,1735660018932
P,h,1735660018999
R,t,1735660019000
R,h,1735660019060
P,e,1735660019071
R,e,1735660019128
P,i,1735660019139
R,i,1735660019214
P,r,1735660019217
P,Key.space,1735660019292
R,r,1735660019297
R,Key.space,1735660019370
P,o,1735660019439
R,o,1735660019501
P,w,1735660019515
R,w,1735660019573
P,n,1735660019576
R,n,1735660019646
P,Key.space,1735660019717
R,Key.space,1735660019801
P,r,1735660019806
P,i,1735660019882
R,r,1735660019884
R,i,1735660019965
P,g,1735660019986
R,g,1735660020047
P,h,1735660020052
R,h,1735660020135
P,t,1735660020152
P,s,1735660020247
R,t,1735660020258
P,Key.comma,1735660020290
R,s,1735660020330
R,Key.comma,1735660020347
P,Key.space,1735660020429
R,Key.space,1735660020499
P,b,1735660020569
P,u,1735660020605
R,b,1735660020654
P,t,1735660020661
R,u,1735660020668
R,t,1735660020731
P,Key.space,1735660020741
R,Key.space,1735660020808
P,o,1735660020892
P,n,1735660020944
R,o,1735660020984
R,n,1735660021003
P,e,1735660021018
P,Key.space,1735660021076
R,e,1735660021088
R,Key.space,1735660021168
P,t,1735660021269
P,h,1735660021334
R,t,1735660021345
P,i,1735660021385
R,h,1735660021406
R,i,1735660021446
P,n,1735660021473
R,n,1735660021551
P,g,1735660021556
R,g,1735660021627
P,Key.space,1735660021630
R,Key.space,1735660021720
P,t,1735660021831
P,h,1735660021911
R,t,1735660021913
R,h,1735660021950
P,e,1735660022012
P,y,1735660022069
R,e,1735660022098
R,y,1735660022139
P,Key.space,1735660022331
R,Key.space,1735660022398
P,Key.shift,1735660023920
R,Key.shift,1735660024707
P,Key.backspace,1735660025010
R,Key.backspace,1735660025065
P,Key.backspace,1735660025123
R,Key.backspace,1735660025188
P,t,1735660025452
R,t,1735660025521
P,h,1735660025579
R,h,1735660025635
P,e,1735660025695
R,e,1735660025782
P,y,1735660025785
R,y,1735660025859
P,Key.space,1735660025966
P,s,1735660026049
R,Key.space,1735660026078
P,t,1735660026137
R,s,1735660026163
R,t,1735660026230
P,a,1735660026271
P,r,1735660026340
R,a,1735660026370
R,r,1735660026398
P,t,1735660026482
R,t,1735660026585
P,e,1735660026739
P,d,1735660026874
R,e,1735660026876
R,d,1735660026948
P,Key.space,1735660026975
R,Key.space,1735660027062
P,f,1735660027073
P,r,1735660027135
R,f,1735660027162
P,o,1735660027195
R,r,1735660027221
P,m,1735660027246
R,o,1735660027295
R,m,1735660027315
P,Key.space,1735660027641
R,Key.space,1735660027728
P,Key.shift,1735660028101
P,C,1735660028306
R,C,1735660028436
R,Key.shift,1735660028474
P,o,1735660028547
P,a,1735660028630
R,o,1735660028634
P,c,1735660028697
R,a,1735660028743
P,h,1735660028780
R,c,1735660028788
R,h,1735660028859
P,Key.shift,1735660028905
P,C,1735660029040
R,C,1735660029165
R,Key.shift,1735660029197
P,Key.space,1735660029372
P,Key.shift,1735660029429
R,Key.space,1735660029442
P,C,1735660029486
R,C,1735660029596
R,Key.shift,1735660029618
P,Key.backspace,1735660029753
R,Key.backspace,1735660029805
P,Key.backspace,1735660029873
R,Key.backspace,1735660029941
P,Key.backspace,1735660030019
R,Key.backspace,1735660030077
P,Key.space,1735660030103
P,Key.shift,1735660030149
