Press or Release,Key,Time
P,T,1735660005623
R,T,1735660005652
P,h,1735660005737
R,h,1735660005758
P,e,1735660005801
R,e,1735660005805
P,r,1735660005951
R,r,1735660005959
P,s,1735660006121
R,s,1735660006133
P,e,1735660006270
R,e,1735660006282
P,Key.space,1735660006403
R,Key.space,1735660006433
P,Key.backspace,1735660007089
R,Key.backspace,1735660007136
P,Key.backspace,1735660007270
R,Key.backspace,1735660007273
P,Key.backspace,1735660007385
R,Key.backspace,1735660007392
P,s,1735660008589
R,s,1735660008604
P,Key.space,1735660008702
R,Key.space,1735660008717
P,r,1735660008840
R,r,1735660008850
P,h,1735660008901
R,h,1735660008924
P,e,1735660008983
R,e,1735660008986
P,Key.space,1735660009100
R,Key.space,1735660009122
P,Key.shift,1735660009366
P,Key.backspace,1735660009868
R,Key.backspace,1735660009901
R,Key.shift,1735660009947
P,Key.backspace,1735660010016
R,Key.backspace,1735660010021
P,Key.backspace,1735660010149
R,Key.backspace,1735660010156
P,Key.backspace,1735660010284
R,Key.backspace,1735660010293
P,Key.backspace,1735660010401
R,Key.backspace,1735660010435
P,Key.backspace,1735660010550
R,Key.backspace,1735660010557
P,Key.space,1735660011118
R,Key.space,1735660011130
P,e,1735660011634
R,e,1735660011643
P,x,1735660011817
R,x,1735660011832
P,i,1735660011936
R,i,1735660011966
P,s,1735660012026
R,s,1735660012031
P,t,1735660012183
R,t,1735660012194
P,d,1735660012351
R,d,1735660012365
P,Key.space,1735660012450
R,Key.space,1735660012493
P,t,1735660012530
R,t,1735660012535
P,h,1735660012581
R,h,1735660012598
P,e,1735660012631
R,e,1735660012634
P,Key.space,1735660012765
R,Key.space,1735660012783
P,Key.shift,1735660013042
R,Key.shift,1735660013135
P,Key.caps_lock,1735660013136
P,U,1735660013439
R,U,1735660013454
R,Key.caps_lock,1735660014205
P,Key.shift,1735660014207
R,Key.shift,1735660014260
P,n,1735660014503
R,n,1735660014518
P,i,1735660014685
R,i,1735660014700
P,t,1735660014794
R,t,1735660014804
P,e,1735660014974
R,e,1735660014989
P,d,1735660015098
R,d,1735660015104
P,Key.space,1735660015214
R,Key.space,1735660015223
P,Key.shift,1735660015444
P,N,1735660015669
R,N,1735660015703
R,Key.shift,1735660015727
P,a,1735660015801
R,a,1735660015807
P,t,1735660015965
R,t,1735660015975
P,i,1735660016081
R,i,1735660016090
P,o,1735660016163
R,o,1735660016167
P,n,1735660016313
R,n,1735660016341
P,s,1735660016390
R,s,1735660016395
P,Key.space,1735660017218
R,Key.space,1735660017246
P,f,1735660017435
R,f,1735660017480
P,o,1735660017557
R,o,1735660017583
P,r,1735660017629
R,r,1735660017635
P,u,1735660017848
R,u,1735660017859
P,m,1735660018035
R,m,1735660018050
P,Key.space,1735660018196
R,Key.space,1735660018209
P,f,1735660018601
R,f,1735660018616
P,o,1735660018651
R,o,1735660018658
P,r,1735660018750
R,r,1735660018755
P,Key.space,1735660018862
R,Key.space,1735660018871
P,t,1735660018945
R,t,1735660018952
P,h,1735660019029
R,h,1735660019034
P,i,1735660019163
R,i,1735660019171
P,s,1735660019272
R,s,1735660019277
P,Key.backspace,1735660019566
R,Key.backspace,1735660019579
P,n,1735660019764
R,n,1735660019776
P,f,1735660019857
R,f,1735660019865
P,s,1735660019998
R,s,1735660020009
P,Key.space,1735660020123
R,Key.space,1735660020161
P,l,1735660020733
R,l,1735660020748
P,i,1735660020847
R,i,1735660020855
P,k,1735660020963
R,k,1735660020972
P,e,1735660021049
R,e,1735660021055
P,Key.space,1735660021215
R,Key.space,1735660021235
P,t,1735660021275
R,t,1735660021283
P,h,1735660021394
R,h,1735660021400
P,i,1735660021477
R,i,1735660021481
P,s,1735660021594
R,s,1735660021599
P,.,1735660022300
R,.,1735660022322
P,Key.space,1735660022394
R,Key.space,1735660022421
P,I,1735660022783
R,I,1735660022816
P,f,1735660022911
R,f,1735660022920
P,Key.space,1735660023010
R,Key.space,1735660023018
P,y,1735660023129
R,y,1735660023139
P,o,1735660023228
R,o,1735660023235
P,u,1735660023362
R,u,1735660023372
P,Key.space,1735660023531
R,Key.space,1735660023556
P,b,1735660023678
R,b,1735660023689
P,Key.backspace,1735660024062
R,Key.backspace,1735660024073
P,t,1735660024213
R,t,1735660024228
P,h,1735660024329
R,h,1735660024338
P,i,1735660024410
R,i,1735660024420
P,n,1735660024630
R,n,1735660024648
P,k,1735660024745
R,k,1735660024750
P,Key.space,1735660024929
R,Key.space,1735660024956
P,g,1735660025333
R,g,1735660025379
P,o,1735660025454
R,o,1735660025460
P,i,1735660025542
R,i,1735660025550
P,n,1735660025729
R,n,1735660025739
P,g,1735660025846
R,g,1735660025852
P,Key.space,1735660025909
R,Key.space,1735660025915
P,t,1735660026009
R,t,1735660026014
P,o,1735660026076
R,o,1735660026081
P,t,1735660026193
R,t,1735660026219
P,Key.space,1735660026295
R,Key.space,1735660026303
P,r,1735660026342
R,r,1735660026362
P,b,1735660026412
R,b,1735660026416
P,Key.space,1735660026542
R,Key.space,1735660026553
P,Key.shift,1735660026818
R,Key.shift,1735660026933
P,Key.caps_lock,1735660026935
P,Key.backspace,1735660027638
R,Key.backspace,1735660027688
P,Key.backspace,1735660027913
R,Key.backspace,1735660027928
P,Key.backspace,1735660028129
R,Key.backspace,1735660028142
P,Key.backspace,1735660028447
R,Key.backspace,1735660028533
P,Key.backspace,1735660028879
R,Key.backspace,1735660028895
P,Key.space,1735660029164
R,Key.space,1735660029216
P,T,1735660029662
R,T,1735660029678
P,H,1735660029741
R,H,1735660029748
P,E,1735660029841
R,E,1735660029848
P,Key.space,1735660029924
R,Key.space,1735660029935
P,Key.backspace,1735660030408
R,Key.backspace,1735660030496
P,Key.backspace,1735660030660
R,Key.backspace,1735660030666
P,Key.backspace,1735660030811
R,Key.backspace,1735660030820
P,Key.backspace,1735660031258
R,Key.backspace,1735660031265
R,Key.caps_lock,1735660031480
P,t,1735660031708
R,t,1735660031718
P,h,1735660031825
R,h,1735660031835
P,e,1735660031899
R,e,1735660031906
P,Key.space,1735660032023
R,Key.space,1735660032036
P,Key.shift,1735660032102
R,Key.shift,1735660032271
P,Key.caps_lock,1735660032273
P,U,1735660032374
R,U,1735660032385
P,S,1735660032457
R,S,1735660032464
P,A,1735660032607
R,A,1735660032615
P,S,1735660032686
R,S,1735660032692
P,Key.space,1735660032840
R,Key.space,1735660032855
R,Key.caps_lock,1735660033246
P,Key.backspace,1735660033542
R,Key.backspace,1735660033589
P,Key.backspace,1735660033728
R,Key.backspace,1735660033733
P,Key.backspace,1735660033957
R,Key.backspace,1735660033964
P,Key.shift,1735660034697
P,A,1735660034857
R,A,1735660034883
R,Key.shift,1735660034922
P,Key.space,1735660035005
R,Key.space,1735660035013
P,i,1735660035207
R,i,1735660035216
P,s,1735660035289
R,s,1735660035296
P,Key.space,1735660035407
R,Key.space,1735660035417
P,t,1735660035473
R,t,1735660035477
