Press or Release,Key,Time
P,Key.shift,1735660003788
P,C,1735660004673
R,C,1735660004745
R,Key.shift,1735660004772
P,o,1735660006783
R,o,1735660006899
P,a,1735660008126
R,a,1735660008220
P,c,1735660008420
R,c,1735660008542
P,h,1735660008671
R,h,1735660008766
P,Key.space,1735660008921
R,Key.space,1735660009028
P,c,1735660009272
R,c,1735660009370
P,a,1735660009584
R,a,1735660009706
P,r,1735660010028
R,r,1735660010140
P,t,1735660010319
R,t,1735660010433
P,e,1735660010472
R,e,1735660010610
P,r,1735660010661
R,r,1735660010770
P,Key.space,1735660010882
R,Key.space,1735660010953
P,h,1735660013470
R,h,1735660013547
P,e,1735660014123
R,e,1735660014226
P,l,1735660014435
R,l,1735660014512
P,p,1735660014667
R,p,1735660014730
P,e,1735660015144
R,e,1735660015245
P,d,1735660015353
R,d,1735660015459
P,Key.space,1735660015520
R,Key.space,1735660015625
P,t,1735660015700
R,t,1735660015799
P,h,1735660015833
R,h,1735660015935
P,e,1735660016012
R,e,1735660016139
P,Key.space,1735660016158
R,Key.space,1735660016235
P,p,1735660016588
R,p,1735660016662
P,l,1735660016778
R,l,1735660016842
P,a,1735660016939
R,a,1735660017069
P,y,1735660017252
R,y,1735660017349
P,e,1735660017447
R,e,1735660017535
P,r,1735660017661
R,r,1735660017752
P,s,1735660018035
R,s,1735660018162
P,Key.space,1735660018183
R,Key.space,1735660018268
P,g,1735660020127
R,g,1735660020223
P,e,1735660020260
R,e,1735660020382
P,t,1735660020388
R,t,1735660020461
P,Key.space,1735660020682
R,Key.space,1735660020756
P,b,1735660021077
R,b,1735660021149
P,e,1735660021196
R,e,1735660021335
P,t,1735660021428
R,t,1735660021504
P,t,1735660021571
R,t,1735660021638
P,e,1735660021648
R,e,1735660021745
P,r,1735660021822
R,r,1735660021895
P,Key.space,1735660021930
R,Key.space,1735660022007
P,a,1735660026446
R,a,1735660026603
P,t,1735660026883
R,t,1735660026957
P,Key.space,1735660027220
R,Key.space,1735660027286
P,b,1735660027861
R,b,1735660027942
P,s,1735660029158
R,s,1735660029291
P,k,1735660029750
R,k,1735660029806
P,e,1735660029951
R,e,1735660030075
P,t,1735660030443
R,t,1735660030531
P,Key.space,1735660030678
R,Key.space,1735660030771
P,Key.backspace,1735660031626
R,Key.backspace,1735660031690
P,Key.backspace,1735660031782
R,Key.backspace,1735660031834
P,Key.backspace,1735660031895
R,Key.backspace,1735660031946
P,Key.backspace,1735660032655
R,Key.backspace,1735660032726
P,Key.backspace,1735660032824
R,Key.backspace,1735660032894
P,a,1735660034217
R,a,1735660034368
P,s,1735660034382
R,s,1735660034518
P,k,1735660034870
R,k,1735660034955
P,e,1735660035055
R,e,1735660035184
P,t,1735660035319
R,t,1735660035415
P,Key.space,1735660035527
R,Key.space,1735660035593
P,b,1735660036913
R,b,1735660036991
P,a,1735660037054
R,a,1735660037169
P,l,1735660037329
R,l,1735660037381
P,l,1735660037463
R,l,1735660037521
P,Key.space,1735660037688
R,Key.space,1735660037718
P,a,1735660038676
R,a,1735660038820
P,n,1735660038885
R,n,1735660038976
P,d,1735660039090
R,d,1735660039201
P,Key.space,1735660039275
R,Key.space,1735660039348
P,a,1735660039512
R,a,1735660039639
P,l,1735660039841
R,l,1735660039941
P,s,1735660039978
R,s,1735660040108
P,o,1735660040129
R,o,1735660040204
P,Key.space,1735660040652
R,Key.space,1735660040729
P,h,1735660047512
R,h,1735660047600
P,e,1735660047733
R,e,1735660047849
P,l,1735660048054
R,l,1735660048122
P,p,1735660048311
R,p,1735660048365
P,e,1735660048601
R,e,1735660048714
P,d,1735660048835
R,d,1735660048947
P,Key.space,1735660049047
R,Key.space,1735660049119
P,t,1735660049215
R,t,1735660049319
P,h,1735660049364
R,h,1735660049451
P,e,1735660049559
R,e,1735660049691
P,m,1735660049885
R,m,1735660049965
P,Key.space,1735660050108
R,Key.space,1735660050148
P,g,1735660050579
R,g,1735660050666
P,e,1735660050696
R,e,1735660050816
P,t,1735660050980
R,t,1735660051073
