Press or Release,Key,Time
P,Key.shift,1735660008393
P,A,1735660008537
R,Key.shift,1735660008617
R,A,1735660008713
P,n,1735660008760
R,n,1735660008873
P,Key.space,1735660008968
R,Key.space,1735660009064
P,a,1735660009096
P,n,1735660009208
R,a,1735660009288
R,n,1735660009336
P,c,1735660009448
P,h,1735660009576
R,c,1735660009592
R,h,1735660009768
P,o,1735660009768
R,o,1735660009897
P,r,1735660009897
R,r,1735660010040
P,Key.space,1735660010041
R,Key.space,1735660010121
P,d,1735660010568
R,d,1735660010713
P,o,1735660010713
P,i,1735660010856
R,o,1735660010888
R,i,1735660010983
P,n,1735660011688
R,n,1735660011800
P,g,1735660011848
R,g,1735660011976
P,Key.space,1735660011993
R,Key.space,1735660012104
P,h,1735660012216
R,h,1735660012344
P,i,1735660012393
R,i,1735660012489
P,s,1735660012489
R,s,1735660012600
P,Key.space,1735660012600
R,Key.space,1735660012680
P,j,1735660012761
R,j,1735660012920
P,o,1735660012954
R,o,1735660013080
P,b,1735660013384
R,b,1735660013497
P,Key.space,1735660013656
R,Key.space,1735660013864
P,i,1735660014025
R,i,1735660014105
P,n,1735660014217
R,n,1735660014312
P,Key.space,1735660014377
R,Key.space,1735660014456
P,h,1735660014600
R,h,1735660014712
P,i,1735660014744
R,i,1735660014857
P,s,1735660014872
R,s,1735660014984
P,Key.space,1735660014984
R,Key.space,1735660015064
P,w,1735660015177
R,w,1735660015305
P,a,1735660015352
P,y,1735660015497
R,a,1735660015544
R,y,1735660015624
P,Key.space,1735660015737
R,Key.space,1735660015817
P,b,1735660016377
R,b,1735660016473
P,y,1735660016600
R,y,1735660016713
P,Key.space,1735660016792
R,Key.space,1735660016888
P,c,1735660018649
R,c,1735660018792
P,o,1735660018808
R,o,1735660018920
P,m,1735660019065
R,m,1735660019209
P,e,1735660019368
R,e,1735660019481
P,d,1735660019592
R,d,1735660019736
P,i,1735660019768
R,i,1735660019880
P,c,1735660020424
R,c,1735660020552
P,Key.backspace,1735660022873
R,Key.backspace,1735660022888
P,Key.backspace,1735660023000
R,Key.backspace,1735660023064
P,Key.backspace,1735660023177
R,Key.backspace,1735660023224
P,Key.backspace,1735660023352
R,Key.backspace,1735660023401
P,Key.backspace,1735660023512
R,Key.backspace,1735660023561
P,Key.backspace,1735660023672
R,Key.backspace,1735660023720
P,Key.backspace,1735660023817
R,Key.backspace,1735660023865
P,Key.backspace,1735660024377
R,Key.backspace,1735660024457
P,Key.space,1735660024809
R,Key.space,1735660024920
P,h,1735660025433
R,h,1735660025560
P,i,1735660025608
P,s,1735660025704
R,i,1735660025721
P,Key.space,1735660025864
R,s,1735660025880
R,Key.space,1735660025929
P,c,1735660026088
R,c,1735660026232
P,o,1735660026232
R,o,1735660026344
P,m,1735660026491
R,m,1735660026586
P,e,1735660026618
R,e,1735660026728
P,d,1735660026824
R,d,1735660026952
P,i,1735660026953
R,i,1735660027064
P,c,1735660027593
R,c,1735660027704
P,Key.space,1735660027784
R,Key.space,1735660027881
P,t,1735660028104
R,t,1735660028264
P,a,1735660028265
P,l,1735660028392
R,a,1735660028425
R,l,1735660028553
P,e,1735660028569
R,e,1735660028681
P,n,1735660029529
R,n,1735660029657
P,t,1735660029705
R,t,1735660029832
P,.,1735660030185
R,.,1735660030265
P,Key.space,1735660030377
R,Key.space,1735660030473
P,Key.shift,1735660030761
P,B,1735660030937
R,Key.shift,1735660030953
R,B,1735660031065
P,u,1735660031210
R,u,1735660031321
P,t,1735660031401
R,t,1735660031512
P,Key.space,1735660031529
R,Key.space,1735660031624
P,t,1735660031768
R,t,1735660031977
P,h,1735660032025
R,h,1735660032137
P,i,1735660032169
R,i,1735660032329
P,Key.backspace,1735660032601
R,Key.backspace,1735660032665
P,Key.backspace,1735660032776
R,Key.backspace,1735660032840
P,Key.backspace,1735660033309
R,Key.backspace,1735660033385
P,i,1735660033705
R,i,1735660033801
P,n,1735660033897
R,n,1735660034008
P,Key.space,1735660034090
R,Key.space,1735660034168
P,t,1735660034233
P,h,1735660034281
R,t,1735660034393
R,h,1735660034393
P,i,1735660034441
P,s,1735660034522
R,i,1735660034536
R,s,1735660034633
P,Key.space,1735660034633
R,Key.space,1735660034728
P,s,1735660034985
R,s,1735660035113
P,t,1735660035160
R,t,1735660035276
P,a,1735660035289
P,g,1735660035385
R,a,1735660035480
R,g,1735660035529
P,e,1735660035609
R,e,1735660035737
P,Key.space,1735660035805
R,Key.space,1735660035912
P,h,1735660036249
R,h,1735660036360
P,e,1735660036457
R,e,1735660036568
P,Key.space,1735660036617
