Press or Release,Key,Time
P,i,1735660016278
R,i,1735660016444
P,Key.space,1735660016485
P,l,1735660016669
R,Key.space,1735660016741
R,l,1735660016813
P,i,1735660016901
R,i,1735660017020
P,k,1735660017100
R,k,1735660017244
P,e,1735660017446
R,e,1735660017447
P,Key.space,1735660017459
R,Key.space,1735660017645
P,t,1735660017741
P,h,1735660017885
R,t,1735660017909
R,h,1735660018045
P,e,1735660018133
R,e,1735660018301
P,Key.space,1735660018301
R,Key.space,1735660018477
P,p,1735660032135
R,p,1735660032301
P,e,1735660032540
P,o,1735660032725
R,e,1735660032765
R,o,1735660032859
P,p,1735660032940
P,l,1735660033157
R,p,1735660033189
R,l,1735660033331
P,e,1735660033413
R,e,1735660033573
P,Key.space,1735660036317
R,Key.space,1735660036493
P,a,1735660036677
P,n,1735660036860
R,a,1735660036877
R,n,1735660037053
P,d,1735660037101
P,Key.space,1735660037260
R,d,1735660037292
R,Key.space,1735660037445
P,s,1735660037772
P,o,1735660037901
R,s,1735660037965
R,o,1735660038061
P,Key.space,1735660038181
R,Key.space,1735660038380
P,l,1735660038500
R,l,1735660038693
P,i,1735660038773
R,i,1735660038933
P,k,1735660039245
R,k,1735660039437
P,e,1735660040365
R,e,1735660040517
P,d,1735660040637
R,d,1735660040837
P,Key.space,1735660040877
R,Key.space,1735660041076
P,n,1735660051340
R,n,1735660051516
P,a,1735660051620
R,a,1735660051779
P,t,1735660052404
R,t,1735660052604
P,u,1735660052628
R,u,1735660052837
P,r,1735660052931
R,r,1735660053060
P,e,1735660053132
R,e,1735660053292
P,.,1735660054604
R,.,1735660054740
P,a,1735660055899
P,n,1735660056100
R,a,1735660056140
R,n,1735660056292
P,d,1735660056363
P,Key.space,1735660056500
R,d,1735660056556
R,Key.space,1735660056700
P,s,1735660056932
R,s,1735660057108
P,o,1735660057180
R,o,1735660057348
P,Key.space,1735660057523
R,Key.space,1735660057724
P,g,1735660058347
R,g,1735660058540
P,o,1735660058580
R,o,1735660058676
P,o,1735660058755
R,o,1735660058876
P,d,1735660058988
R,d,1735660059195
P,Key.space,1735660060099
R,Key.space,1735660060308
P,l,1735660063356
R,l,1735660063524
P,i,1735660063628
R,i,1735660063764
P,k,1735660063867
R,k,1735660063988
P,e,1735660072124
R,e,1735660072324
P,d,1735660073556
R,d,1735660073732
P,Key.space,1735660073763
R,Key.space,1735660073956
P,n,1735660074699
R,n,1735660074884
P,a,1735660074916
R,a,1735660075106
P,t,1735660075378
P,u,1735660075556
R,t,1735660075571
R,u,1735660075731
P,r,1735660075812
R,r,1735660075956
P,e,1735660076018
R,e,1735660076172
P,Key.space,1735660076220
R,Key.space,1735660076412
P,p,1735660076764
R,p,1735660076908
P,l,1735660077003
R,l,1735660077140
P,a,1735660077226
R,a,1735660077404
P,c,1735660077796
R,c,1735660077954
P,e,1735660078052
R,e,1735660078220
P,Key.space,1735660079148
R,Key.space,1735660079300
P,a,1735660079699
R,a,1735660079891
P,n,1735660079898
R,n,1735660080091
P,d,1735660080155
R,d,1735660080340
P,Key.space,1735660211113
R,Key.space,1735660211409
P,i,1735660216176
R,i,1735660216344
P,Key.space,1735660216432
P,l,1735660216551
R,Key.space,1735660216640
R,l,1735660216735
P,i,1735660216816
R,i,1735660216944
P,k,1735660217024
R,k,1735660217176
P,e,1735660217176
P,Key.space,1735660217344
R,e,1735660217368
R,Key.space,1735660217528
P,t,1735660217744
R,t,1735660217904
P,h,1735660217992
R,h,1735660218159
P,e,1735660218240
P,Key.space,1735660218368
R,e,1735660218408
R,Key.space,1735660218552
P,c,1735660218776
P,a,1735660218944
R,c,1735660218952
R,a,1735660219144
P,r,1735660219464
R,r,1735660219591
P,Key.space,1735660221300
R,Key.space,1735660221497
P,.,1735660229239
R,.,1735660229423
P,s,1735660230392
R,s,1735660230592
P,o,1735660230648
R,o,1735660230832
P,Key.space,1735660231489
R,Key.space,1735660231672
P,g,1735660232216
R,g,1735660232376
P,o,1735660232416
R,o,1735660232535
P,o,1735660232625
R,o,1735660232744
P,d,1735660232824
R,d,1735660232976
P,Key.enter,1735660242647
R,Key.enter,1735660242855
P,Key.space,1735660245736
R,Key.space,1735660245983
P,n,1735660247887
R,n,1735660248054
P,a,1735660248159
R,a,1735660248343
P,t,1735660248719
P,u,1735660248862
R,t,1735660248895
R,u,1735660249047
P,r,1735660249159
R,r,1735660249351
P,e,1735660249367
R,e,1735660249591
P,Key.space,1735660249607
R,Key.space,1735660249791
P,l,1735660250574
R,l,1735660250750
P,i,1735660250791
R,i,1735660250951
P,k,1735660251031
R,k,1735660251190
P,e,1735660251303
R,e,1735660251479
P,Key.space,1735660251720
R,Key.space,1735660251935
P,i,1735660253150
R,i,1735660253327
P,t,1735660253574
R,t,1735660253735
P,.,1735660255126
R,.,1735660255287
P,Key.backspace,1735660261056
R,Key.backspace,1735660261238
P,Key.space,1735660262222
R,Key.space,1735660262447
P,t,1735660262815
P,h,1735660262943
R,t,1735660262983
R,h,1735660263127
P,e,1735660263255
P,Key.space,1735660263407
R,e,1735660263445
R,Key.space,1735660263575
P,p,1735660264023
R,p,1735660264159
P,l,1735660264263
R,l,1735660264414
P,a,1735660264471
R,a,1735660264655
P,c,1735660264927
R,c,1735660265071
P,e,1735660265143
R,e,1735660265319
P,Key.space,1735660266479
R,Key.space,1735660266655
P,a,1735660266942
R,a,1735660267151
P,n,1735660267231
R,n,1735660267391
P,d,1735660267487
R,d,1735660267671
P,Key.space,1735660270638
R,Key.space,1735660270839
P,s,1735660275903
R,s,1735660276087
P,o,1735660276223
R,o,1735660276389
P,Key.space,1735660276463
R,Key.space,1735660276655
P,g,1735660276909
R,g,1735660277063
P,o,1735660277199
R,o,1735660277255
P,o,1735660277335
R,o,1735660277453
P,d,1735660277550
R,d,1735660277718
P,.,1735660278726
R,.,1735660278887
P,Key.space,1735660283655
R,Key.space,1735660283846
P,a,1735660284367
P,n,1735660284503
R,a,1735660284559
R,n,1735660284711
P,d,1735660284823
P,Key.space,1735660284999
R,d,1735660285039
R,Key.space,1735660285198
P,s,1735660285375
R,s,1735660285575
P,o,1735660285597
R,o,1735660285775
P,Key.space,1735660285831
R,Key.space,1735660286015
P,g,1735660286214
R,g,1735660286358
P,o,1735660286398
R,o,1735660286493
P,o,1735660286583
R,o,1735660286710
P,d,1735660286807
R,d,1735660286975
P,Key.space,1735660287015
R,Key.space,1735660287231
P,p,1735660287591
R,p,1735660287823
P,l,1735660290103
R,l,1735660290261
P,a,1735660290350
R,a,1735660290493
P,c,1735660290789
P,e,1735660291013
R,c,1735660291052
R,e,1735660291174
P,.,1735660291870
R,.,1735660292038
