Press or Release,Key,Time
P,t,1735660007743
R,t,1735660007825
P,h,1735660007873
R,h,1735660007962
P,e,1735660008049
R,e,1735660008161
P,Key.space,1735660008161
R,Key.space,1735660008216
P,Key.backspace,1735660012378
R,Key.backspace,1735660012448
P,Key.backspace,1735660012530
R,Key.backspace,1735660012601
P,Key.backspace,1735660012673
R,Key.backspace,1735660012744
P,Key.backspace,1735660012817
R,Key.backspace,1735660012880
P,Key.backspace,1735660012969
R,Key.backspace,1735660013027
P,Key.backspace,1735660013114
R,Key.backspace,1735660013177
P,Key.backspace,1735660013232
R,Key.backspace,1735660013328
P,o,1735660013545
R,o,1735660013608
P,n,1735660013745
R,n,1735660013825
P,f,1735660014073
R,f,1735660014202
P,Key.space,1735660014202
R,Key.space,1735660014281
P,t,1735660014409
R,t,1735660014529
P,h,1735660014529
R,h,1735660014609
P,e,1735660014721
P,Key.space,1735660014810
R,e,1735660014848
R,Key.space,1735660014880
P,Key.backspace,1735660015401
R,Key.backspace,1735660015457
P,Key.backspace,1735660015696
R,Key.backspace,1735660015761
P,Key.backspace,1735660015842
R,Key.backspace,1735660015913
P,Key.backspace,1735660015996
R,Key.backspace,1735660016060
P,Key.backspace,1735660016154
R,Key.backspace,1735660016217
P,Key.backspace,1735660016313
R,Key.backspace,1735660016385
P,e,1735660017874
R,e,1735660018002
P,Key.space,1735660018002
R,Key.space,1735660018075
P,o,1735660018233
R,o,1735660018337
P,f,1735660018417
R,f,1735660018529
P,Key.space,1735660018553
R,Key.space,1735660018625
P,t,1735660018729
R,t,1735660018849
P,h,1735660018881
R,h,1735660018961
P,e,1735660019081
P,Key.space,1735660019195
R,e,1735660019217
R,Key.space,1735660019314
P,s,1735660019433
R,s,1735660019617
P,Key.backspace,1735660020385
R,Key.backspace,1735660020465
P,o,1735660020673
R,o,1735660020745
P,s,1735660021889
R,s,1735660022042
P,c,1735660022225
P,Key.space,1735660022226
R,Key.space,1735660022299
R,c,1735660022313
P,Key.backspace,1735660023329
R,Key.backspace,1735660023425
P,a,1735660023545
R,a,1735660023673
P,r,1735660023705
R,r,1735660023849
P,Key.space,1735660023849
R,Key.space,1735660023929
P,w,1735660025082
R,w,1735660025209
P,a,1735660025305
R,a,1735660025457
P,Key.backspace,1735660026177
R,Key.backspace,1735660026233
P,Key.backspace,1735660026297
R,Key.backspace,1735660026361
P,Key.backspace,1735660026442
R,Key.backspace,1735660026513
P,a,1735660027498
R,a,1735660027649
P,w,1735660027857
R,w,1735660027994
P,a,1735660028129
R,a,1735660028297
P,r,1735660028353
R,r,1735660028489
P,Key.backspace,1735660028793
R,Key.backspace,1735660028849
P,Key.backspace,1735660028929
R,Key.backspace,1735660028985
P,Key.backspace,1735660029073
R,Key.backspace,1735660029137
P,Key.backspace,1735660029241
R,Key.backspace,1735660029313
P,Key.backspace,1735660029409
R,Key.backspace,1735660029473
P,Key.backspace,1735660029641
R,Key.backspace,1735660029673
P,r,1735660030489
R,r,1735660030553
P,Key.backspace,1735660030993
R,Key.backspace,1735660031089
P,a,1735660031217
R,a,1735660031393
P,r,1735660031481
R,r,1735660031601
P,Key.space,1735660032105
R,Key.space,1735660032209
P,a,1735660033753
R,a,1735660033906
P,w,1735660034162
R,w,1735660034297
P,a,1735660034425
R,a,1735660034609
P,r,1735660034657
R,r,1735660034777
P,d,1735660034881
R,d,1735660035009
P,Key.space,1735660035049
R,Key.space,1735660035138
P,f,1735660035529
R,f,1735660035665
P,u,1735660035849
R,u,1735660035929
P,n,1735660036065
R,n,1735660036137
P,c,1735660036305
R,c,1735660036498
P,Key.backspace,1735660037257
R,Key.backspace,1735660037345
P,t,1735660037865
R,t,1735660037969
P,i,1735660038017
R,i,1735660038082
P,o,1735660038169
R,o,1735660038250
P,n,1735660038378
R,n,1735660038425
P,Key.space,1735660038938
R,Key.space,1735660039002
P,Key.comma,1735660050218
R,Key.comma,1735660050281
P,Key.space,1735660050385
R,Key.space,1735660050467
P,t,1735660050608
R,t,1735660050730
P,h,1735660050730
R,h,1735660050827
P,e,1735660050906
P,Key.space,1735660051010
R,e,1735660051060
R,Key.space,1735660051080
P,a,1735660051489
R,a,1735660051673
P,n,1735660052457
R,n,1735660052553
P,c,1735660052665
R,c,1735660052801
P,h,1735660052802
R,h,1735660052867
P,o,1735660053027
R,o,1735660053098
P,r,1735660053242
R,r,1735660053353
P,Key.space,1735660053393
R,Key.space,1735660053468
P,i,1735660054602
R,i,1735660054666
P,s,1735660054753
P,Key.space,1735660054888
R,s,1735660054906
R,Key.space,1735660054953
P,r,1735660073361
R,r,1735660073473
P,a,1735660073561
R,a,1735660073729
P,g,1735660073761
R,g,1735660073857
P,g,1735660073937
R,g,1735660074041
P,i,1735660074081
R,i,1735660074186
P,n,1735660074282
R,n,1735660074377
P,g,1735660074409
R,g,1735660074530
P,Key.space,1735660074530
R,Key.space,1735660074610
P,t,1735660075737
R,t,1735660075913
P,o,1735660076090
R,o,1735660076161
P,n,1735660076337
P,Key.space,1735660076339
R,n,1735660076370
R,Key.space,1735660076402
P,t,1735660077241
R,t,1735660077393
P,Key.backspace,1735660077681
R,Key.backspace,1735660077737
P,Key.backspace,1735660077825
R,Key.backspace,1735660077888
P,Key.backspace,1735660078353
R,Key.backspace,1735660078417
P,Key.space,1735660080041
R,Key.space,1735660080105
P,t,1735660080224
R,t,1735660080313
P,h,1735660080370
R,h,1735660080441
P,e,1735660080536
R,e,1735660080625
P,Key.space,1735660080687
R,Key.space,1735660080737
P,a,1735660082833
R,a,1735660082985
P,Key.backspace,1735660083977
R,Key.backspace,1735660084065
P,c,1735660084997
P,v,1735660085000
R,v,1735660085033
R,c,1735660085065
P,Key.backspace,1735660086257
R,Key.backspace,1735660086329
P,Key.backspace,1735660086426
R,Key.backspace,1735660086495
P,v,1735660086937
P,b,1735660086939
R,b,1735660086994
R,v,1735660087017
P,Key.backspace,1735660087833
R,Key.backspace,1735660087888
P,Key.backspace,1735660087953
R,Key.backspace,1735660088027
P,v,1735660089092
R,v,1735660089186
P,e,1735660089314
R,e,1735660089457
P,r,1735660089505
R,r,1735660089601
P,y,1735660089753
R,y,1735660089825
P,Key.space,1735660089953
R,Key.space,1735660090033
P,f,1735660090673
R,f,1735660090801
P,a,1735660092073
R,a,1735660092203
P,m,1735660092319
R,m,1735660092369
P,o,1735660092705
R,o,1735660092778
P,u,1735660092921
R,u,1735660093001
P,s,1735660093049
R,s,1735660093201
P,e,1735660093257
P,Key.space,1735660093353
R,e,1735660093393
R,Key.space,1735660093449
P,Key.space,1735660101322
R,Key.space,1735660101418
P,a,1735660101722
R,a,1735660101843
P,c,1735660101930
R,c,1735660102051
P,t,1735660102714
R,t,1735660102842
P,o,1735660102930
R,o,1735660103002
P,r,1735660103084
R,r,1735660103179
P,Key.space,1735660103212
R,Key.space,1735660103282
P,Key.backspace,1735660104130
R,Key.backspace,1735660104210
P,s,1735660104346
R,s,1735660104474
P,Key.space,1735660105218
R,Key.space,1735660105290
P,w,1735660105410
