Press or Release,Key,Time
P,w,1735660001786
P,h,1735660001842
P,f,1735660001880
R,w,1735660001932
P,o,1735660001937
R,h,1735660001959
R,f,1735660002045
R,o,1735660002105
P,h,1735660002106
P,w,1735660002144
R,h,1735660002176
P,i,1735660002176
P,o,1735660002189
P,f,1735660002208
R,w,1735660002223
R,o,1735660002300
P,u,1735660002308
R,i,1735660002324
R,f,1735660002360
R,u,1735660002408
P,w,1735660002416
P,9,1735660002452
R,9,1735660002481
P,f,1735660002496
R,w,1735660002536
P,6,1735660002601
R,f,1735660002620
R,6,1735660002684
P,8,1735660002684
P,w,1735660002700
P,9,1735660002724
P,f,1735660002777
P,6,1735660002797
R,9,1735660002799
R,w,1735660002821
R,8,1735660002824
R,f,1735660002884
P,9,1735660002937
P,8,1735660002945
P,w,1735660002969
R,6,1735660002976
P,f,1735660003050
R,w,1735660003077
R,9,1735660003097
R,8,1735660003154
R,f,1735660003154
P,w,1735660003230
P,b,1735660003234
P,8,1735660003313
P,f,1735660003352
R,w,1735660003355
R,f,1735660003407
R,8,1735660003410
P,w,1735660003513
P,f,1735660003595
P,i,1735660003627
P,o,1735660003644
R,w,1735660003646
R,o,1735660003715
R,i,1735660003730
R,f,1735660003751
P,u,1735660003759
P,w,1735660003792
R,b,1735660003807
R,u,1735660003851
P,o,1735660003865
P,i,1735660003900
P,f,1735660003913
R,w,1735660003952
P,u,1735660003992
R,i,1735660004012
R,f,1735660004023
R,o,1735660004027
P,w,1735660004120
P,o,1735660004168
R,u,1735660004175
P,f,1735660004208
P,i,1735660004211
R,w,1735660004252
P,j,1735660004300
R,i,1735660004328
R,f,1735660004340
R,o,1735660004343
P,w,1735660004418
R,j,1735660004470
P,i,1735660004472
P,o,1735660004484
P,f,1735660004491
R,w,1735660004540
R,o,1735660004584
R,f,1735660004606
R,i,1735660004606
P,j,1735660004642
R,j,1735660004690
P,w,1735660004719
P,o,1735660004739
P,i,1735660004757
P,f,1735660004800
R,i,1735660004839
R,o,1735660004839
R,w,1735660004854
R,f,1735660004915
P,o,1735660004969
P,w,1735660005012
P,i,1735660005028
R,i,1735660005101
P,f,1735660005108
R,o,1735660005111
R,w,1735660005140
R,f,1735660005197
P,o,1735660005234
P,i,1735660005266
P,w,1735660005285
R,i,1735660005370
P,f,1735660005377
R,o,1735660005381
R,w,1735660005417
R,f,1735660005486
P,o,1735660005487
P,i,1735660005494
P,w,1735660005561
P,u,1735660005622
P,f,1735660005625
R,i,1735660005631
R,o,1735660005637
R,f,1735660005718
R,w,1735660005721
P,o,1735660005762
P,i,1735660005766
R,u,1735660005778
P,w,1735660005866
P,f,1735660005877
R,o,1735660005893
R,i,1735660005913
R,w,1735660005983
P,o,1735660006024
P,i,1735660006029
R,f,1735660006033
P,w,1735660006166
R,o,1735660006198
R,i,1735660006201
P,f,1735660006246
R,w,1735660006298
P,i,1735660006322
R,f,1735660006330
P,o,1735660006330
R,o,1735660006422
P,w,1735660006425
R,i,1735660006462
P,u,1735660006465
P,f,1735660006540
R,w,1735660006570
P,o,1735660006577
P,i,1735660006581
R,u,1735660006599
R,f,1735660006630
P,w,1735660006726
R,o,1735660006733
R,i,1735660006745
P,f,1735660006818
R,w,1735660006870
P,i,1735660006874
P,o,1735660006876
R,f,1735660006946
